Year,State,Generation (TWh),CO2 Emissions (MMT),Residential Electricity Price ($/kWh),Commercial Electricity Price ($/kWh),Total Disposition (MWh),Direct Use (MWh),Estimated Losses (MWh),T&D Loss Fraction,Emissions Rate (Mt/TWh)
2022,AL,144.788893,52.252,0.13965,0.1316,144788893.0,4896466,4707447,0.03365047773458101,0.37345083448086763
2022,AR,65.90503,31.303,0.11879999999999999,0.102,65905030.0,1211942,2650355,0.04096813248426169,0.49526126277885185
2022,AZ,104.69877299999999,32.948,0.1284,0.1032,104698773.0,223167,4554313,0.04359211852764941,0.32903668335631653
2022,CA,203.38385699999998,44.448,0.25780000000000003,0.21555,270252746.0,13052857,13623971,0.052970361118623965,0.23076618678411948
2022,CO,58.044008999999996,29.739,0.14350000000000002,0.11690000000000002,59953950.0,223081,3070396,0.051403839445228895,0.5401166901317733
2022,CT,43.054099,10.757,0.23665,0.1875,43054099.0,857003,1501966,0.03559406078560477,0.25906979844615147
2022,DC,0.160237,0.064,0.15410000000000001,0.15825,10916178.0,139170,553980,0.051403877588287954,0.4210520862420207
2022,DE,5.30837,2.682,0.15414999999999998,0.11864999999999998,12955335.0,812739,624176,0.051403834896590485,0.5326184701186096
2022,FL,258.910413,97.61500000000001,0.14095000000000002,0.11405000000000001,266196743.0,4366464,13459082,0.05140384088274221,0.39745290836498287
2022,GA,126.48463299999999,43.772,0.12524999999999997,0.1114,157708978.0,5090678,7845167,0.05140384213426568,0.3648188452077326
2022,IA,72.982198,26.163,0.1191,0.09415,72982198.0,2315638,2931971,0.04149021828712194,0.3740021106390074
2022,ID,16.27841,2.287,0.10225000000000001,0.08145,28161211.0,590166,1417258,0.051403855022542674,0.14810605922761183
2022,IL,185.223322,53.796,0.16509999999999997,0.11044999999999999,185223322.0,3741095,7349493,0.04049703996634337,0.30269691655317466
2022,IN,98.05490499999999,70.49,0.15594999999999998,0.1385,112304793.0,7029656,5411546,0.05140383716622473,0.7578387775616263
2022,KS,62.197528999999996,23.881,0.13875,0.11265,62197529.0,203306,2269735,0.036612040447704296,0.3985457324565293
2022,KY,69.147329,55.012,0.1346,0.121,79640961.0,363170,4075183,0.05140384146172791,0.8386884530366033
2022,LA,105.504849,48.266,0.1316,0.1268,119585711.0,19472417,5146208,0.05140384253064333,0.4822669796317868
2022,MA,21.026161,9.098,0.29355,0.19060000000000002,54487601.0,838517,2757769,0.051403841303236414,0.4561467504078019
2022,MD,37.139365,11.24,0.1545,0.13620000000000002,63057359.0,254158,3228326,0.05140384484542436,0.3190439232878864
2022,ME,12.763919999999999,2.7920000000000003,0.22335000000000002,0.15125,14933055.0,1676999,642374,0.048458908139796635,0.22988137842251358
2022,MI,117.497052,58.51,0.17869999999999997,0.12775,122734950.0,2536443,5443725,0.045289456049566405,0.5215925850111063
2022,MN,58.966891,22.327,0.13665,0.1177,61960481.0,1638331,3604408,0.05975264475818584,0.40269850884551817
2022,MO,79.361031,57.147,0.10975,0.09144999999999999,84802456.0,297422,4343883,0.05140383707791893,0.7591101033828255
2022,MS,67.78124,27.308,0.1286,0.12045,67781240.0,1575629,2649375,0.04001737858744329,0.41967878263819725
2022,MT,27.088739999999998,13.656,0.12,0.11905000000000002,27230894.0,26647,842950,0.03098597068318046,0.5202410751202655
2022,NC,134.25708799999998,41.255,0.11685000000000001,0.08960000000000001,148343770.0,1858651,7529898,0.05140384259782729,0.32393509896117023
2022,ND,44.400956,28.813,0.10105,0.0787,50583334.0,200740,1373538,0.027262153274601145,0.6671144452986113
2022,NE,40.692718,22.174,0.1014,0.08475000000000002,40692718.0,447030,1830677,0.04548753148411825,0.5708811964994285
2022,NH,18.764393,2.543,0.30745,0.20865000000000003,18764393.0,95061,585169,0.03134386382972888,0.13990788972156776
2022,NJ,65.060636,15.891,0.16435000000000002,0.1335,79853640.0,1518703,4026717,0.051403845515315856,0.25748478038481853
2022,NM,40.889036,18.112000000000002,0.13595,0.10885,40889036.0,155868,1468917,0.03606193851654259,0.4595263386349194
2022,NV,42.591837999999996,13.509,0.15095,0.1091,42591838.0,111919,2126877,0.05006782145700419,0.33389062131117114
2022,NY,125.185363,30.788,0.2322,0.1766,127244390.0,2464796,7746467,0.06208120055271217,0.26221811075721824
2022,OH,135.81045899999998,71.71000000000001,0.14300000000000002,0.10375,158473041.0,1156734,8086662,0.05140383825562343,0.5566281199929555
2022,OK,84.634922,26.607,0.11725,0.09845000000000001,84634922.0,929280,3758651,0.044903197803560245,0.3291538356653744
2022,OR,61.317617,7.8740000000000006,0.11320000000000001,0.0947,61317617.0,420486,3046804,0.05003197933905951,0.1351764872187406
2022,PA,239.26112999999998,77.555,0.17575,0.11295,239261130.0,6388281,7845675,0.03369081038725987,0.33544517000482277
2022,RI,7.819451,2.949,0.2807,0.17130000000000004,8166826.0,194419,409812,0.05140379812520861,0.39757322493410113
2022,SC,98.70950099999999,24.857,0.1384,0.11350000000000002,98709501.0,2568082,4476525,0.04656187776883135,0.2641175397124983
2022,SD,17.900461999999997,2.825,0.11600000000000002,0.0998,17900462.0,69385,728453,0.040853000634790596,0.16453907053363032
2022,TN,78.036045,26.586000000000002,0.12484999999999999,0.12045,109651521.0,2200590,5523390,0.051403835672675556,0.35915042581956447
2022,TX,525.56294,213.621,0.1475,0.08855,541295637.0,37662709,25715147,0.051059304446432065,0.4283316226713543
2022,UT,39.386043,26.262,0.1053,0.08005,39386043.0,585418,1804789,0.0465144311464055,0.6993125495529365
2022,VA,89.477325,26.093,0.14065000000000003,0.10045,141600023.0,2420014,7154387,0.051403840619093505,0.3074182601160258
2022,VT,2.183829,0.013000000000000001,0.2034,0.17645,15898286.0,3776,295906,0.018616868340074654,0.006065772733031123
2022,WA,116.69049799999999,10.787,0.10189999999999999,0.09519999999999999,122476734.0,750773,4916769,0.040392114875149765,0.09633217756753246
2022,WI,61.24431,32.978,0.15365,0.1152,75039243.0,1509946,3779688,0.05140383703110884,0.5676455060394106
2022,WV,56.66536,50.376,0.1329,0.10649999999999998,56665360.0,540028,1784277,0.031790938893688864,0.9181991477892547
2022,WY,46.347491999999995,38.619,0.10715,0.09359999999999999,46347492.0,1495201,892478,0.019898158602422337,0.8501657026128424
