,ochre_status,nec_version,ev_level,build_existing_model.census_division,case_name,case,outcome,energy_mbtu,division_total,division_share,share_type,group
14,post_ochre,nec_2023,L0,New England,BAU,2,replacement,585461.737,914187.109,0.640417844,energy_weighted,2
15,post_ochre,nec_2023,L0,Pacific,BAU,2,management,592727.259,1990756.89,0.29773965,energy_weighted,2
16,post_ochre,nec_2023,L0,Pacific,BAU,2,no_management,846053.214,1990756.89,0.424990725,energy_weighted,2
17,post_ochre,nec_2023,L0,Pacific,BAU,2,replacement,551976.417,1990756.89,0.277269625,energy_weighted,2
18,post_ochre,nec_2023,L0,South Atlantic,BAU,2,management,384324.47,2781683.28,0.138162555,energy_weighted,2
19,post_ochre,nec_2023,L0,South Atlantic,BAU,2,no_management,1601127.418,2781683.28,0.575596593,energy_weighted,2
20,post_ochre,nec_2023,L0,South Atlantic,BAU,2,replacement,796231.392,2781683.28,0.286240852,energy_weighted,2
21,post_ochre,nec_2023,L0,West North Central,BAU,2,management,128990.698,1872970.768,0.068869574,energy_weighted,2
22,post_ochre,nec_2023,L0,West North Central,BAU,2,no_management,397837.935,1872970.768,0.212410114,energy_weighted,2
23,post_ochre,nec_2023,L0,West North Central,BAU,2,replacement,1346142.135,1872970.768,0.718720312,energy_weighted,2
24,post_ochre,nec_2023,L0,West South Central,BAU,2,management,402564.067,2098029.276,0.19187724,energy_weighted,2
25,post_ochre,nec_2023,L0,West South Central,BAU,2,no_management,1076379.215,2098029.276,0.513042991,energy_weighted,2
26,post_ochre,nec_2023,L0,West South Central,BAU,2,replacement,619085.994,2098029.276,0.295079769,energy_weighted,2
