,build_existing_model.census_division,case_name,case,outcome,building_count,division_total,division_share,share_type
369,South Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,24,5392,0.004451038575667656,building_count
370,South Atlantic,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,5,5392,0.000927299703264095,building_count
371,South Atlantic,High Efficiency HP with Env.,11,management,22,5392,0.004080118694362018,building_count
372,South Atlantic,High Efficiency HP with Env.,11,no_management,114,5392,0.021142433234421366,building_count
373,South Atlantic,High Efficiency HP with Env.,11,replacement,11,5392,0.002040059347181009,building_count
374,South Atlantic,High Efficiency HP with Env.,11,smart_panel,4,5392,0.000741839762611276,building_count
375,South Atlantic,Inefficient,1,management,105,5392,0.019473293768545993,building_count
376,South Atlantic,Inefficient,1,no_management,374,5392,0.0693620178041543,building_count
377,South Atlantic,Inefficient,1,replacement,37,5392,0.006862017804154303,building_count
378,South Atlantic,Inefficient,1,smart_panel,6,5392,0.001112759643916914,building_count
379,South Atlantic,Low-voltage,6,management,32,5392,0.005934718100890208,building_count
380,South Atlantic,Low-voltage,6,no_management,112,5392,0.020771513353115726,building_count
381,South Atlantic,Low-voltage,6,replacement,29,5392,0.005378338278931751,building_count
382,South Atlantic,"Low-voltage
(HPWH and dryer only)",16,management,14,5392,0.0025964391691394658,building_count
383,South Atlantic,"Low-voltage
(HPWH and dryer only)",16,no_management,44,5392,0.008160237388724036,building_count
384,South Atlantic,"Low-voltage
(HPWH and dryer only)",16,replacement,29,5392,0.005378338278931751,building_count
385,South Atlantic,Low-voltage with Env.,13,management,72,5392,0.013353115727002967,building_count
386,South Atlantic,Low-voltage with Env.,13,no_management,230,5392,0.04265578635014837,building_count
387,South Atlantic,Low-voltage with Env.,13,replacement,35,5392,0.006491097922848665,building_count
388,South Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,management,12,5392,0.002225519287833828,building_count
389,South Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,67,5392,0.012425816023738873,building_count
390,South Atlantic,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,33,5392,0.006120178041543026,building_count
391,West North Central,BAU,2,management,6,1889,0.0031762837480148226,building_count
392,West North Central,BAU,2,no_management,67,1889,0.035468501852832186,building_count
393,West North Central,BAU,2,replacement,18,1889,0.009528851244044468,building_count
394,West North Central,BAU,2,smart_panel,2,1889,0.0010587612493382743,building_count
395,West North Central,BAU with Env.,9,management,29,1889,0.015352038115404976,building_count
396,West North Central,BAU with Env.,9,no_management,316,1889,0.16728427739544732,building_count
397,West North Central,BAU with Env.,9,replacement,81,1889,0.04287983059820011,building_count
398,West North Central,BAU with Env.,9,smart_panel,8,1889,0.004235044997353097,building_count
399,West North Central,BAU with HPWH,3,management,1,1889,0.0005293806246691371,building_count
400,West North Central,BAU with HPWH,3,no_management,7,1889,0.0037056643726839597,building_count
401,West North Central,BAU with HPWH,3,replacement,9,1889,0.004764425622022234,building_count
402,West North Central,BAU with HPWH with Env.,10,no_management,11,1889,0.005823186871360508,building_count
403,West North Central,BAU with HPWH with Env.,10,replacement,13,1889,0.006881948120698782,building_count
404,West North Central,"High Eff HP
with HPWH and Env.",12,management,4,1889,0.0021175224986765486,building_count
405,West North Central,"High Eff HP
with HPWH and Env.",12,no_management,25,1889,0.013234515616728428,building_count
406,West North Central,"High Eff HP
with HPWH and Env.",12,replacement,17,1889,0.008999470619375331,building_count
407,West North Central,High Eff and Low-voltage,7,management,5,1889,0.0026469031233456856,building_count
408,West North Central,High Eff and Low-voltage,7,no_management,43,1889,0.022763366860772894,building_count
409,West North Central,High Eff and Low-voltage,7,replacement,8,1889,0.004235044997353097,building_count
410,West North Central,"High Eff and Low-voltage
with Env.",14,management,46,1889,0.024351508734780307,building_count
411,West North Central,"High Eff and Low-voltage
with Env.",14,no_management,154,1889,0.08152461619904712,building_count
412,West North Central,"High Eff and Low-voltage
with Env.",14,replacement,45,1889,0.02382212811011117,building_count
413,West North Central,"High Eff and Low-voltage
with Env.",14,smart_panel,2,1889,0.0010587612493382743,building_count
414,West North Central,High Eff. HP,4,management,3,1889,0.0015881418740074113,building_count
415,West North Central,High Eff. HP,4,no_management,43,1889,0.022763366860772894,building_count
416,West North Central,High Eff. HP,4,replacement,13,1889,0.006881948120698782,building_count
417,West North Central,"High Eff. HP
 With HPWH",5,no_management,20,1889,0.010587612493382742,building_count
418,West North Central,"High Eff. HP
 With HPWH",5,replacement,2,1889,0.0010587612493382743,building_count
419,West North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,3,1889,0.0015881418740074113,building_count
420,West North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,15,1889,0.007940709370037057,building_count
421,West North Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,9,1889,0.004764425622022234,building_count
422,West North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,15,1889,0.007940709370037057,building_count
423,West North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,57,1889,0.030174695606140816,building_count
424,West North Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,39,1889,0.020645844362096346,building_count
425,West North Central,High Efficiency HP with Env.,11,management,21,1889,0.01111699311805188,building_count
426,West North Central,High Efficiency HP with Env.,11,no_management,176,1889,0.09317098994176813,building_count
427,West North Central,High Efficiency HP with Env.,11,replacement,58,1889,0.03070407623080995,building_count
428,West North Central,High Efficiency HP with Env.,11,smart_panel,13,1889,0.006881948120698782,building_count
429,West North Central,Inefficient,1,management,14,1889,0.007411328745367919,building_count
430,West North Central,Inefficient,1,no_management,83,1889,0.04393859184753838,building_count
431,West North Central,Inefficient,1,replacement,18,1889,0.009528851244044468,building_count
432,West North Central,Inefficient,1,smart_panel,4,1889,0.0021175224986765486,building_count
433,West North Central,Low-voltage,6,management,1,1889,0.0005293806246691371,building_count
434,West North Central,Low-voltage,6,no_management,24,1889,0.01270513499205929,building_count
435,West North Central,Low-voltage,6,replacement,7,1889,0.0037056643726839597,building_count
436,West North Central,"Low-voltage
(HPWH and dryer only)",16,management,5,1889,0.0026469031233456856,building_count
437,West North Central,"Low-voltage
(HPWH and dryer only)",16,no_management,8,1889,0.004235044997353097,building_count
438,West North Central,"Low-voltage
(HPWH and dryer only)",16,replacement,11,1889,0.005823186871360508,building_count
439,West North Central,Low-voltage with Env.,13,management,35,1889,0.018528321863419798,building_count
440,West North Central,Low-voltage with Env.,13,no_management,132,1889,0.0698782424563261,building_count
441,West North Central,Low-voltage with Env.,13,replacement,50,1889,0.026469031233456855,building_count
442,West North Central,Low-voltage with Env.,13,smart_panel,2,1889,0.0010587612493382743,building_count
443,West North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,21,1889,0.01111699311805188,building_count
444,West North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,37,1889,0.019587083112758072,building_count
445,West North Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,33,1889,0.017469560614081524,building_count
446,West South Central,BAU,2,management,36,3107,0.011586739620212423,building_count
447,West South Central,BAU,2,no_management,345,3107,0.11103958802703573,building_count
448,West South Central,BAU,2,replacement,36,3107,0.011586739620212423,building_count
449,West South Central,BAU,2,smart_panel,5,3107,0.0016092693916961698,building_count
450,West South Central,BAU with Env.,9,management,63,3107,0.02027679433537174,building_count
451,West South Central,BAU with Env.,9,no_management,612,3107,0.1969745735436112,building_count
452,West South Central,BAU with Env.,9,replacement,49,3107,0.015770840038622464,building_count
453,West South Central,BAU with Env.,9,smart_panel,5,3107,0.0016092693916961698,building_count
454,West South Central,BAU with HPWH,3,management,7,3107,0.002252977148374638,building_count
455,West South Central,BAU with HPWH,3,no_management,91,3107,0.029288702928870293,building_count
456,West South Central,BAU with HPWH,3,replacement,10,3107,0.0032185387833923397,building_count
457,West South Central,BAU with HPWH with Env.,10,management,5,3107,0.0016092693916961698,building_count
458,West South Central,BAU with HPWH with Env.,10,no_management,65,3107,0.02092050209205021,building_count
459,West South Central,BAU with HPWH with Env.,10,replacement,10,3107,0.0032185387833923397,building_count
460,West South Central,"High Eff HP
with HPWH and Env.",12,management,12,3107,0.0038622465400708077,building_count
461,West South Central,"High Eff HP
with HPWH and Env.",12,no_management,64,3107,0.020598648213710977,building_count
462,West South Central,"High Eff HP
with HPWH and Env.",12,replacement,2,3107,0.000643707756678468,building_count
463,West South Central,High Eff and Low-voltage,7,management,23,3107,0.007402639201802382,building_count
464,West South Central,High Eff and Low-voltage,7,no_management,45,3107,0.014483424525265529,building_count
465,West South Central,High Eff and Low-voltage,7,replacement,10,3107,0.0032185387833923397,building_count
466,West South Central,High Eff and Low-voltage,7,smart_panel,1,3107,0.000321853878339234,building_count
467,West South Central,"High Eff and Low-voltage
with Env.",14,management,16,3107,0.005149662053427744,building_count
468,West South Central,"High Eff and Low-voltage
with Env.",14,no_management,46,3107,0.014805278403604764,building_count
469,West South Central,"High Eff and Low-voltage
with Env.",14,replacement,6,3107,0.0019311232700354038,building_count
470,West South Central,High Eff. HP,4,management,33,3107,0.010621177985194722,building_count
471,West South Central,High Eff. HP,4,no_management,44,3107,0.014161570646926296,building_count
472,West South Central,High Eff. HP,4,replacement,10,3107,0.0032185387833923397,building_count
473,West South Central,"High Eff. HP
 With HPWH",5,management,30,3107,0.00965561635017702,building_count
474,West South Central,"High Eff. HP
 With HPWH",5,no_management,143,3107,0.04602510460251046,building_count
475,West South Central,"High Eff. HP
 With HPWH",5,replacement,4,3107,0.001287415513356936,building_count
476,West South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,management,16,3107,0.005149662053427744,building_count
477,West South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,no_management,21,3107,0.0067589314451239136,building_count
478,West South Central,"High Eff. and Low-voltage
(HPWH and dryer only)",17,replacement,4,3107,0.001287415513356936,building_count
479,West South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,management,11,3107,0.003540392661731574,building_count
480,West South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,no_management,14,3107,0.004505954296749276,building_count
481,West South Central,"High Eff. and Low-voltage 
 with Env. (HPWH and dryer only)",19,replacement,5,3107,0.0016092693916961698,building_count
482,West South Central,High Efficiency HP with Env.,11,management,17,3107,0.0054715159317669775,building_count
483,West South Central,High Efficiency HP with Env.,11,no_management,95,3107,0.03057611844222723,building_count
484,West South Central,High Efficiency HP with Env.,11,replacement,11,3107,0.003540392661731574,building_count
485,West South Central,High Efficiency HP with Env.,11,smart_panel,1,3107,0.000321853878339234,building_count
486,West South Central,Inefficient,1,management,68,3107,0.02188606372706791,building_count
487,West South Central,Inefficient,1,no_management,280,3107,0.09011908593498552,building_count
488,West South Central,Inefficient,1,replacement,20,3107,0.006437077566784679,building_count
489,West South Central,Inefficient,1,smart_panel,3,3107,0.0009655616350177019,building_count
490,West South Central,Low-voltage,6,management,49,3107,0.015770840038622464,building_count
491,West South Central,Low-voltage,6,no_management,129,3107,0.041519150305761185,building_count
492,West South Central,Low-voltage,6,replacement,20,3107,0.006437077566784679,building_count
493,West South Central,"Low-voltage
(HPWH and dryer only)",16,management,7,3107,0.002252977148374638,building_count
494,West South Central,"Low-voltage
(HPWH and dryer only)",16,no_management,24,3107,0.007724493080141615,building_count
495,West South Central,"Low-voltage
(HPWH and dryer only)",16,replacement,15,3107,0.00482780817508851,building_count
496,West South Central,Low-voltage with Env.,13,management,92,3107,0.029610556807209528,building_count
497,West South Central,Low-voltage with Env.,13,no_management,262,3107,0.08432571612487931,building_count
498,West South Central,Low-voltage with Env.,13,replacement,35,3107,0.01126488574187319,building_count
499,West South Central,Low-voltage with Env.,13,smart_panel,2,3107,0.000643707756678468,building_count
500,West South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,management,13,3107,0.0041841004184100415,building_count
501,West South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,no_management,46,3107,0.014805278403604764,building_count
502,West South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,replacement,18,3107,0.005793369810106212,building_count
503,West South Central,"Low-voltage with Env.
(HPWH and dryer only)",18,smart_panel,1,3107,0.000321853878339234,building_count
