EMMReg,Year,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Summer-TakeStartHr3,Summer-TakeEndHr3,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Winter-TakeStartHr3,Winter-TakeEndHr3,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2,Inter-TakeStartHr3,Inter-TakeEndHr3
5,2050,19,13,17,20,1,1,12,15,,,9,14,7,10,5,5,12,15,,,19,14,17,20,12,15,,,,
6,2050,22,14,20,23,14,14,,,,,9,13,7,10,13,14,,,,,19,13,17,20,12,15,,,,
7,2050,18,11,16,19,10,13,,,,,9,11,7,10,11,13,,,,,2,11,0,3,10,13,,,,
8,2050,18,11,16,19,10,13,,,,,9,11,7,10,10,14,,,,,18,11,16,19,10,12,14,14,,
9,2050,19,11,17,20,10,14,,,,,9,12,7,10,10,14,,,,,19,11,17,20,10,13,,,,
10,2050,21,11,19,22,10,12,,,,,9,13,7,10,11,14,,,,,21,12,19,22,11,13,,,,
11,2050,20,12,18,21,11,13,,,,,9,13,7,10,11,15,,,,,21,12,19,22,11,14,,,,
12,2050,19,11,17,20,10,12,,,,,9,13,7,10,10,14,,,,,19,11,17,20,10,13,,,,
13,2050,21,11,19,22,11,13,,,,,9,14,7,10,12,15,,,,,21,14,19,22,12,14,,,,
14,2050,19,12,17,20,11,13,,,,,9,14,7,10,14,15,,,,,19,13,17,20,12,15,,,,
15,2050,23,13,21,24,11,14,,,,,9,15,7,10,13,16,,,,,23,14,21,24,12,16,,,,
16,2050,20,11,18,21,11,13,,,,,9,13,7,10,12,14,,,,,22,13,20,23,12,14,,,,
17,2050,19,3,18,21,1,5,,,,,9,14,7,10,12,15,,,,,18,3,17,20,1,5,,,,
18,2050,18,3,17,20,1,5,,,,,9,14,7,10,2,6,13,15,,,18,5,17,20,1,7,24,24,,
19,2050,18,5,17,20,1,6,24,24,,,9,5,7,10,1,6,24,24,,,18,5,17,20,1,7,,,,
20,2050,19,12,17,20,10,14,,,,,9,13,7,10,11,16,,,,,24,14,22,25,10,15,,,,
21,2050,24,13,22,25,8,8,13,16,,,9,15,7,10,12,16,,,,,1,16,-1,2,13,16,,,,
22,2050,3,13,1,4,13,16,,,,,9,13,7,10,12,16,,,,,1,15,-1,2,13,15,,,,
23,2050,2,10,0,3,10,15,,,,,9,13,7,10,11,14,,,,,2,12,0,3,10,14,,,,
24,2050,19,12,17,20,10,12,,,,,9,14,7,10,12,15,,,,,19,13,17,20,12,15,,,,
25,2050,19,11,17,20,10,12,,,,,9,14,7,10,12,15,,,,,19,13,17,20,12,14,,,,
