Region,Year,Summer-MaxHr,Summer-MinHr,Winter-MaxHr,Winter-MinHr,Inter-MaxHr,Inter-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr1,Summer-TakeEndHr1,Summer-TakeStartHr2,Summer-TakeEndHr2,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr1,Winter-TakeEndHr1,Winter-TakeStartHr2,Winter-TakeEndHr2,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr1,Inter-TakeEndHr1,Inter-TakeStartHr2,Inter-TakeEndHr2
9,2045,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
9,2050,15,4,19,3,13,4,14,17,1,7,,,18,21,1,6,,,12,15,1,7,,
10,2020,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2025,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2030,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2035,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2040,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2045,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
10,2050,13,3,20,4,13,3,12,15,1,6,,,19,22,1,7,,,12,15,1,6,,
11,2020,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2025,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2030,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2035,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2040,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2045,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
11,2050,15,4,20,3,13,4,14,17,1,7,,,19,22,1,7,,,12,15,1,7,,
12,2020,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2025,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2030,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2035,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2040,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2045,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
12,2050,16,5,20,3,15,4,15,18,1,9,,,19,22,1,8,13,18,14,17,1,8,,
13,2020,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2025,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2030,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2035,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2040,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2045,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
13,2050,15,3,19,3,13,3,14,17,1,6,,,18,21,1,6,13,16,12,15,1,6,,
14,2020,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2025,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2030,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2035,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2040,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2045,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
14,2050,15,3,19,2,16,3,14,17,1,7,,,18,21,1,5,11,17,15,18,1,6,,
15,2020,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2025,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2030,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2035,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2040,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2045,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
15,2050,16,4,19,3,14,3,15,18,1,7,,,18,21,1,6,12,17,13,16,1,7,,
16,2020,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2025,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2030,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2035,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2040,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2045,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
16,2050,16,4,20,3,14,4,15,18,1,7,,,19,22,1,6,13,17,13,16,1,6,,
17,2020,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2025,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2030,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2035,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2040,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2045,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
17,2050,15,4,20,3,14,3,14,17,1,6,,,19,22,1,6,,,13,16,1,6,,
18,2020,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2025,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2030,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2035,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2040,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2045,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
18,2050,16,5,20,3,15,4,15,18,1,7,,,19,22,1,9,13,18,14,17,1,8,,
19,2020,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2025,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2030,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2035,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2040,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2045,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
19,2050,16,4,20,3,15,4,15,18,1,7,,,19,22,1,17,,,14,17,1,8,,
20,2020,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
20,2025,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
20,2030,16,4,20,4,13,4,15,18,1,6,,,19,22,1,7,,,12,15,1,7,,
