CDIV	BLDG	EUSE	SUM_NBLDGS	EQUIP	GRND	INFIL	ROOF	WALL	WIND_COND	WIND_SOL	PEOPLE
1	1	HEAT	4132590.3768599997	-0.008196759854030905	0.09493646047878275	0.39811383922987814	0.08042405765602062	0.38240376890896416	0.13348791004615027	-0.08116927646576502	0.0
1	1	COOL	4132590.3768599997	0.5642310446387813	-0.13023527930572407	-0.11808831456217794	0.05412628027741918	0.30924409136832065	-0.06859195187316688	0.38931412945654775	0.0
1	2	HEAT	2325901.22334	-0.09819149824113524	0.12278141536516694	0.5312294228997262	0.08284020940516944	0.2792221612779644	0.17087343366536697	-0.08875514437225868	0.0
1	2	COOL	2325901.22334	0.8189641229561492	-0.09532085254945695	-0.20592323224382084	0.11504866504873823	0.010918682125013164	-0.12417404906628997	0.4804866637296672	0.0
1	3	HEAT	161151.90498	-0.025711874077126568	0.35276199509210965	0.3284495197360865	0.09322280938561767	0.20404824979424066	0.15461743322951352	-0.10738813316044139	0.0
1	3	COOL	161151.90498	1.0973740654483322	-0.4015518053811769	-0.22552421145592852	0.04613659354381879	-0.006838627090980393	-0.15375674171689577	0.6441607266528305	0.0
2	1	HEAT	10574197.0317	-0.013311727932185378	0.09053935565034246	0.42500326578554515	0.07896514558052899	0.36960630500502406	0.12466354294711475	-0.07546588703637007	0.0
2	1	COOL	10574197.0317	0.5231791692252354	-0.055720872751583	-0.052786226824628774	0.05610408706458402	0.2756731985838038	-0.03116592104763866	0.28471656575022714	0.0
2	2	HEAT	6726167.64576	-0.1202112625309832	0.0931882221100126	0.6223319036744991	0.06982345527786467	0.25048553985090066	0.18394495385019335	-0.09956281223248718	0.0
2	2	COOL	6726167.64576	0.7091308707803575	-0.015040693529939258	-0.10517307386121393	0.08132401833710975	0.024865753134035943	-0.061048622363753746	0.3659417475034036	0.0
2	3	HEAT	454651.9846199999	-8.326595164836201e-05	0.31819537281984855	0.32983553185267056	0.0879791436566998	0.22004504758152113	0.15442215704166645	-0.1103939870007582	0.0
2	3	COOL	454651.9846199999	0.8110239396368318	-0.22993758052793553	-0.115851661341235	0.050085727584332336	0.08030553997982122	-0.0765527128250282	0.48092674749321324	0.0
