ENDUSE	CDIV	BLDG	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
HT	9	7	0.1082	-0.0196	0.0176	0.013	0.0492	-0.0083	-0.0195	-0.0331	0.0	0.0	-0.0164	0.9089
HT	9	8	0.2863	-0.0999	0.1587	0.238	0.4595	-0.0509	-0.083	-0.1821	0.0	0.0	-0.0774	0.3508
HT	9	9	0.2	-0.0463	0.107	0.1744	0.129	-0.0501	-0.1059	-0.0082	0.0611	0.0	-0.0609	0.6
HT	9	10	0.3662	-0.1025	0.2449	0.47	0.4911	-0.0161	-0.3237	-0.0958	0.0	0.0	-0.0744	0.0403
HT	9	11	0.2304	-0.0589	0.1399	0.2244	0.2782	-0.0343	-0.1473	-0.0495	0.0324	0.0	-0.0538	0.4385
HT	9	12	0.2304	-0.0589	0.1399	0.2244	0.2782	-0.0343	-0.1473	-0.0495	0.0324	0.0	-0.0538	0.4385
CL	9	1	0.0501	0.1396	0.1091	0.0938	-0.0035	0.2037	-0.0042	0.2119	-0.003	0.0	0.0956	0.107
CL	9	2	0.0493	0.107	0.122	0.0559	-0.0011	0.3068	-0.0062	0.1824	-0.0104	0.0	0.0899	0.1043
CL	9	3	0.039	0.2134	0.0883	0.1262	-0.0064	0.2645	0.0191	0.182	-0.2423	0.0	0.1689	0.1472
CL	9	4	-0.0111	0.0623	0.0308	0.0114	-0.0126	0.1347	-0.0175	0.6813	-0.0129	0.0	0.0573	0.0764
CL	9	5	0.0252	0.0753	0.0332	0.0402	-0.0217	0.1027	0.0162	0.4528	-0.0069	0.0	0.1607	0.1222
CL	9	6	0.1106	0.1215	0.0724	0.0747	-0.0178	0.1257	-0.0255	0.4174	-0.0126	0.0	0.0761	0.0574
CL	9	7	0.0783	0.1593	0.0371	0.0657	-0.011	0.0756	0.0215	0.2773	0.0	0.0	0.1144	0.1819
CL	9	8	0.1109	0.188	0.1325	0.1529	-0.0074	0.0676	-0.0316	0.2184	0.0	0.0	0.0909	0.0778
CL	9	9	0.0266	0.1402	0.0934	0.0913	-0.005	0.187	0.0138	0.2216	-0.0021	0.0	0.1034	0.1298
CL	9	10	0.0253	0.2867	0.1983	0.2144	-0.0273	0.005	0.0288	0.1265	0.0	0.0	0.1246	0.0177
CL	9	11	0.0477	0.1824	0.119	0.1199	-0.0145	0.114	0.0112	0.2262	-0.0061	0.0	0.1107	0.0894
CL	9	12	0.0477	0.1824	0.119	0.1199	-0.0145	0.114	0.0112	0.2262	-0.0061	0.0	0.1107	0.0894
