ENDUSE	CDIV	BLDG	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
HT	6	11	0.2475	-0.0721	0.1966	0.2281	0.2967	-0.0485	-0.0847	-0.0565	0.055	0.0	-0.0836	0.3215
HT	6	12	0.2475	-0.0721	0.1966	0.2281	0.2967	-0.0485	-0.0847	-0.0565	0.055	0.0	-0.0836	0.3215
CL	6	1	0.0518	0.1248	0.1298	0.0995	-0.0033	0.1051	0.0	0.0964	-0.0038	0.0	0.0971	0.3026
CL	6	2	0.0637	0.1482	0.1529	0.0828	-0.0003	0.1312	0.0041	0.0443	-0.0027	0.0	0.0456	0.3303
CL	6	3	0.0284	0.1017	0.0652	0.0684	-0.0092	0.0782	-0.0108	0.292	-0.0992	0.0	0.1111	0.374
CL	6	4	0.002	0.0423	0.0422	0.0217	-0.0092	0.1567	-0.0236	0.2486	-0.0383	0.0	0.0609	0.4968
CL	6	5	0.0113	0.0571	0.0679	0.0335	-0.0073	0.0763	0.0145	0.2952	-0.0041	0.0	0.0878	0.3679
CL	6	6	0.0318	0.1084	0.0634	0.088	-0.0098	0.119	0.0271	0.3464	-0.006	0.0	0.0823	0.1492
CL	6	7	0.0335	0.1284	0.048	0.0638	-0.0088	0.0489	0.0198	0.2023	0.0	0.0	0.0841	0.3799
CL	6	8	0.0591	0.1469	0.166	0.1387	-0.0051	0.0539	-0.0229	0.2039	0.0	0.0	0.1016	0.158
CL	6	9	0.0407	0.1059	0.1068	0.09	-0.0055	0.1166	0.0063	0.0762	-0.0064	0.0	0.1203	0.349
CL	6	10	0.048	0.1824	0.2532	0.2024	-0.0068	0.0034	0.0448	0.0937	0.0	0.0	0.112	0.0669
CL	6	11	0.0445	0.1373	0.1523	0.1194	-0.0057	0.0723	0.0172	0.1332	-0.0036	0.0	0.0944	0.2387
CL	6	12	0.0445	0.1373	0.1523	0.1194	-0.0057	0.0723	0.0172	0.1332	-0.0036	0.0	0.0944	0.2387
HT	7	1	0.1935	-0.0739	0.1183	0.2191	0.2886	-0.0711	-0.0701	0.0346	0.1388	0.0	-0.079	0.3014
HT	7	2	0.1641	-0.0594	0.1085	0.154	0.2441	-0.0954	-0.0498	0.0167	0.0552	0.0	-0.0466	0.5085
HT	7	3	0.0338	-0.0062	0.0151	0.0336	0.0496	-0.0364	-0.0398	0.3682	0.5076	0.0	-0.0633	0.1378
HT	7	4	0.0677	-0.0151	0.065	0.0773	0.0673	-0.0295	-0.0694	0.1275	0.2805	0.0	-0.0385	0.4672
HT	7	5	0.1649	-0.0322	0.1557	0.1104	0.1655	-0.0393	-0.0422	-0.1203	0.005	0.0	-0.068	0.7005
HT	7	6	0.2552	-0.0618	0.102	0.1215	0.4677	-0.0681	-0.0601	-0.053	0.0896	0.0	-0.0752	0.2822
HT	7	7	0.2206	-0.0532	0.0566	0.0421	0.1534	-0.0268	-0.0269	-0.096	0.0	0.0	-0.0354	0.7656
HT	7	8	0.3414	-0.1412	0.2675	0.3847	0.5948	-0.0781	-0.099	-0.3169	0.0	0.0	-0.1276	0.1745
HT	7	9	0.1665	-0.0586	0.0827	0.1994	0.1641	-0.0627	-0.0689	0.1537	0.2218	0.0	-0.0822	0.2843
