CZONE,BLDG,ENDUSE,AREA,WIND_COND,WALL,ROOF,FLOOR,GRND,EQUIP_ELEC,EQUIP_NELEC,PEOPLE,INFIL,LIGHTS,WIND_SOL,VENT,NET
5,10,2,232.1,0.1,0.3,0.7,-0.2,-2.2,0.6,0,0.2,0,2,0.5,0.1,2.1
1,10,1,769.3,-1.8,-2.5,-3.4,-0.5,-10.4,1.6,0,0.2,-1,3.4,1.6,-0.7,-13.5
1,10,2,233.8,0,0.1,0.4,-0.1,-1.2,0.3,0,0.1,0,1.1,0.6,0,1.4
2,10,1,2465.1,-1.4,-1.9,-2.6,-0.5,-7.4,1.4,0,0.2,-0.8,3,1.3,-0.5,-9.2
2,10,2,476,0,0.2,0.6,-0.2,-1.5,0.5,0,0.1,0,1.5,0.9,0,2.1
3,10,1,1481.1,-1,-1.4,-1.9,-0.4,-4.7,1.2,0,0.2,-0.6,2.5,1.1,-0.4,-5.6
3,10,2,540.6,0,0.3,0.9,-0.3,-1.9,0.8,0,0.1,0,2.2,1.2,0,3.4
4,10,1,771.7,-0.3,-0.4,-0.7,-0.2,-1.3,0.5,0,0.1,-0.2,0.9,0.5,-0.1,-1.2
4,10,2,377.7,-0.1,0.3,1.3,-0.3,-1.6,0.8,0,0.2,0,2.4,1.8,0,4.8
5,10,1,696.8,-0.4,-0.5,-0.7,-0.3,-2.7,0.7,0,0.1,-0.2,1.4,0.7,-0.1,-2
5,10,2,547.7,0.2,0.6,1.3,-0.3,-3.2,0.8,0,0.2,0.1,2.4,1.4,0.1,3.4
