building_type,climate_zone,template,measure,status,ep_version,os_version,timestamp,cooling_electricity,cooling_water,district_chilled_water,district_hot_water_heating,district_hot_water_service_hot_water,exterior_equipment_electricity,exterior_equipment_gas,exterior_equipment_other_fuel,exterior_equipment_water,exterior_lighting_electricity,fan_electricity,floor_area,generated_electricity,heat_recovery_electricity,heat_rejection_electricity,heating_electricity,heating_gas,heating_other_fuel,heating_water,humidification_electricity,humidification_water,interior_equipment_electricity,interior_equipment_gas,interior_equipment_other_fuel,interior_equipment_water,interior_lighting_electricity,net_site_electricity,net_water,pump_electricity,refrigeration_electricity,service_water,service_water_heating_electricity,service_water_heating_gas,service_water_heating_other_fuel,total_gas,total_other_fuel,total_site_electricity,total_water
Warehouse,BA-Marine,90.1-2010,optimal_start_stop,completed normal,,,,0.03791268481253269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01003514931814,31.003098005448607,52044.92349890498,0.0,0.0,0.0,0.0,185.62050484216005,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,401.73228644479957,642.7811364828825,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,185.62050484216005,0.0,642.7811364828825,1873.0899229077545
Warehouse,BA-Marine,DOE Ref 1980-2004,vav_terminal_minimum_airflow,completed normal,,,,0.9478171203133173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.24254263156263,98.90471650469466,52044.89021726307,0.0,0.0,0.0,0.0,507.101115710031,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,679.490093552617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.101115710031,0.0,679.490093552617,0.0
Warehouse,BA-Marine,DOE Ref 1980-2004,occupant_feedback_thermostat_control,completed normal,,,,0.7298191826412543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.24254263156263,98.58245868378812,52044.89021726307,0.0,0.0,0.0,0.0,521.7733247324811,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,678.9498377940384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.7733247324811,0.0,678.9498377940384,0.0
Warehouse,BA-Marine,90.1-2013,optimal_start_stop,completed normal,,,,0.028434513609399515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01003514931814,25.060284661084108,52044.92349890498,0.0,0.0,0.0,0.0,102.44007436346332,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,373.155600267353,608.2521587898682,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,102.44007436346332,0.0,608.2521587898682,1873.0899229077545
Warehouse,BA-Marine,90.1-2004,one_watt_standby,completed normal,,,,0.35069233451592735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.93219813305394,27.382436605851737,52044.92349890498,0.0,0.0,0.0,0.0,130.57128649436257,0.0,0.0,0.0,0.0,81.45540331972649,0.0,0.0,0.0,463.2740520667432,704.531421871295,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,130.57128649436257,0.0,704.531421871295,1873.0899229077545
Warehouse,BA-Marine,90.1-2013,advanced_windows,completed normal,,,,0.018956342406266345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01003514931814,25.373064310787505,52044.92349890498,0.0,0.0,0.0,0.0,99.00897638792912,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,373.155600267353,608.5554602683684,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,99.00897638792912,0.0,608.5554602683684,1873.0899229077545
Warehouse,BA-Marine,90.1-2004,improved_duct_routing,completed normal,,,,0.35069233451592735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.93219813305394,24.387334505661652,52044.92349890498,0.0,0.0,0.0,0.0,126.81793069792185,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,463.2740520667432,735.9420812384784,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,126.81793069792185,0.0,735.9420812384784,1873.0899229077545
Warehouse,BA-Marine,DOE Ref Pre-1980,none,completed normal,,,,1.2511185988135787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.24254263156263,104.33570860408996,52044.89021726307,0.0,0.0,0.0,0.0,522.266189635044,0.0,0.0,0.0,0.0,107.6909812099991,0.0,0.0,0.0,308.70403608604744,685.2243871305127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.266189635044,0.0,685.2243871305127,0.0
Warehouse,BA-Marine,90.1-2010,cold_climate_heat_pumps,completed normal,,,,0.028434513609399515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01003514931814,31.91300244094939,52044.92349890498,0.0,0.0,0.0,0.0,194.41624771866765,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,401.73228644479957,643.6815627471801,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,194.41624771866765,0.0,643.6815627471801,1873.0899229077545
Warehouse,BA-Marine,90.1-2010,correct_refrigerant_undercharge.anti_measure,completed normal,,,,0.028434513609399515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.01003514931814,31.91300244094939,52044.92349890498,0.0,0.0,0.0,0.0,194.41624771866765,0.0,0.0,0.0,0.0,115.8611647870999,0.0,0.0,0.0,401.73228644479957,643.6815627471801,1873.0899229077545,0.0,0.0,1873.0899229077545,15.136639411403678,0.0,0.0,194.41624771866765,0.0,643.6815627471801,1873.0899229077545
