Technology,End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
room AC,cooling,5,0,0,0,0,0,0,0.016158099,0.016881002,0.335472072,0.138593079,0,0,0,0,0,0,0,0,0.083449402,0,0,0,0,0,0,0.153577416,0,0,0,0,0,0,0,0,0,0,0,0,0.074514845,0,0,0,0,0.138689579,0,0,0,0.042664505,0,0,0
room AC,cooling,6,0.358058758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196093256,0,0,0,0,0,0,0,0.211462177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234385809,0,0,0,0,0,0,0,0,0,0
room AC,cooling,7,0,0.08217189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186706955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071463262,0,0,0,0,0,0,0.659657893,0,0,0,0,0,0,0,0,0
room AC,cooling,8,0,0,0.484276503,0,0.144593295,0,0,0,0,0,0,0.042507978,0,0,0,0,0,0,0,0,0,0,0,0,0.025313172,0,0,0,0,0,0.109726522,0.112364833,0,0,0,0,0,0,0,0,0,0,0.066674787,0,0,0,0,0,0.014542911,0,0
room AC,cooling,9,0,0,0,0.870772429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056977142,0,0,0,0,0,0,0,0,0,0.07225043,0,0,0,0,0
ASHP,heating,1,0,0,0,0,0,0.269384937,0,0,0,0,0,0,0,0,0,0,0,0.46357173,0,0.095654189,0,0,0,0,0,0,0,0,0.072029706,0,0,0,0,0,0,0,0,0.080278578,0,0,0,0,0,0,0.01908086,0,0,0,0,0,0
ASHP,heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630171,0,0,0.267311692,0,0,0,0.622058137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHP,heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.191346333,0.227738182,0,0,0,0,0,0,0.144454767,0,0,0,0,0,0,0,0,0,0,0,0,0.330770239,0,0,0,0,0,0,0,0,0,0,0,0,0.105690479,0,0,0,0
ASHP,heating,4,0,0,0,0,0,0,0,0,0,0,0.135872469,0,0,0,0.08240441,0,0,0,0,0,0,0.221680922,0.275349131,0,0,0,0.089530766,0.126963144,0,0,0,0,0,0,0,0,0,0,0,0.068199159,0,0,0,0,0,0,0,0,0,0,0
ASHP,heating,5,0,0,0,0,0,0,0.006722176,0.016877698,0.075265504,0.117437916,0,0,0,0,0,0,0,0,0.124735893,0,0,0,0,0,0,0.259549528,0,0,0,0,0,0,0,0,0,0,0,0,0.100321842,0,0,0,0,0.237032182,0,0,0,0.062057261,0,0,0
ASHP,heating,6,0.202990734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277559847,0,0,0,0,0,0,0,0.091084808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428364612,0,0,0,0,0,0,0,0,0,0
ASHP,heating,7,0,0.160808838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111404496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160921259,0,0,0,0,0,0,0.566865407,0,0,0,0,0,0,0,0,0
ASHP,heating,8,0,0,0.193375452,0,0.251092256,0,0,0,0,0,0,0.15347103,0,0,0,0,0,0,0,0,0,0,0,0,0.099050384,0,0,0,0,0,0.121673538,0.098894822,0,0,0,0,0,0,0,0,0,0,0.042610002,0,0,0,0,0,0.039832516,0,0
ASHP,heating,9,0,0,0,0.225532574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261464883,0,0,0,0,0,0,0,0,0,0.513002543,0,0,0,0,0
resistance heat,heating,1,0,0,0,0,0,0.289552865,0,0,0,0,0,0,0,0,0,0,0,0.501154206,0,0.06942101,0,0,0,0,0,0,0,0,0.060508971,0,0,0,0,0,0,0,0,0.054146903,0,0,0,0,0,0,0.025216044,0,0,0,0,0,0
