CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	1	1	0.778977947	0.122068885	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.431978864	0.693386205	1	0	0	0	0	0	0.652318225	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.567552554	0.306613795	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.991722135	0	0	0	0	0.012031497	0
5	0	1	0	0	0	0	0	0	0	0.221022053	0.206695794	0	1	1	0.697699162	0.012579744	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0.165800477	0	0	0	0	0.018917095	0	0	0	0.302300838	0.987420256	0	0	0	0	0	0	0	0	0
7	1	0	0	0	0	0.834199523	0	0	0	0	0	0	0	0	0	0	0.96443357	0	0	0.08435272	0	0	0	0	0
8	0	0	0.000468582	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03556643	0	0.008277865	0.897538591	0	0	0.102619029	0.987968503	1
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018108688	1	1	0.897380971	0	0
