End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23660760335392705,0,0,0.41112580160032997,0,0,0,0.35226659504574304,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22782734570874769,0.1408625746773304,0,0,0,0,0,0,0.21260969921457484,0,0,0,0,0,0,0,0,0,0,0,0,0.2796777269505643,0,0,0,0,0,0,0,0,0,0,0,0,0.13902265344878278,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1349074730704154,0,0,0,0.15420785450286756,0,0,0,0,0,0,0.24089020570800976,0.2964361543885777,0,0,0,0.036843155219114715,0.09650272899913023,0,0,0,0,0,0,0,0,0,0,0,0.040212428111884725,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0,0.0137808884297284,0.011306428995099144,0.3671176769649375,0.14456599484306232,0,0,0,0,0,0,0,0,0,0.07105080927585306,0,0,0,0,0,0,0.15897310935613443,0,0,0,0,0,0,0,0,0,0,0,0,0.10122625223793322,0,0,0,0,0.09947402851584858,0,0,0,0.03250481138140343,0
water heating,6,0,0.2663189008436776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20545079498695046,0,0,0,0,0,0,0,0.1385196183500541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3897106858193179,0,0,0,0,0,0,0,0
water heating,7,0,0,0.08561664143153079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13758618867723157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12154517104454877,0,0,0,0,0,0,0.6552519988466889,0,0,0,0,0,0,0
water heating,8,0,0,0,0.2761377380676485,0,0.23494581181959512,0,0,0,0,0,0,0,0.09817139425923457,0,0,0,0,0,0,0,0,0,0,0,0,0.04634632157366637,0,0,0,0,0,0.10044962654982445,0.10826395292952652,0,0,0,0,0,0,0,0,0,0,0.11208703775271134,0,0,0,0,0,0.02359811704779313
water heating,9,0.00915887554376141,0,0,0,0.7706369936641561,0,0,0,0,0,0,0.013295477012768587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08627210411881148,0,0,0,0,0,0,0,0,0,0.12063654966050251,0,0,0
lighting,1,0,0,0,0,0,0,0.27003232906171737,0,0,0,0,0,0,0,0,0,0,0,0,0.3986738360501731,0,0.11222787884263112,0,0,0,0,0,0,0,0,0.09873931602749395,0,0,0,0,0,0,0,0,0.08529712001899081,0,0,0,0,0,0,0.03502951999899376,0,0,0,0
lighting,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24659238436070052,0,0,0.40873379351734224,0,0,0,0.3446738221219573,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216933708057838,0.1428527377170939,0,0,0,0,0,0,0.23135615316279778,0,0,0,0,0,0,0,0,0,0,0,0,0.28440983263009734,0,0,0,0,0,0,0,0,0,0,0,0,0.12444756843217304,0,0
