CDIV	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
1	0.0	0.0	0.0	0.0	0.0	0.0	0.1211801897	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2613277134	0.0	0.167544784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2223393045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02950474183	0.0	0.0	0.0	0.0	0.0	0.1981032666	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05603038936	0.0	0.4985754986	0.0	0.0	0.0	0.0	0.0	0.4453941121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.148257241	0.1080019637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2965144821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1860579283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2611683849	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.2182070883	0.08269631689	0.0	0.0	0.0	0.0	0.0	0.0	0.3127171647	0.0	0.2425295344	0.0	0.05211952745	0.0	0.0	0.0	0.0	0.0	0.0	0.04864489229	0.0	0.0	0.0	0.0	0.0	0.0	0.04308547603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03529411765	0	0.06631016043	0.1037433155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1219251337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2588235294	0.0	0.0	0.0	0.0	0.0	0.0	0.05882352941	0.0	0.0	0.0	0.0	0.0	0.2363636364	0.0	0.1187165775	0.0	0.0
6	0.1508515815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3868613139	0.0	0.0	0.0	0.0	0.0	0.0	0.1532846715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3090024331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.2058165548	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04921700224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2639821029	0.0	0.0	0.0	0.0	0.0	0.0	0.48098434	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.08538899431	0.0	0.0	0.224857685	0.0	0.0	0	0.0	0.0	0.0	0.179316888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2077798861	0.0	0.03889943074	0.0	0.0	0.1451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04554079696	0.0	0.0	0.0	0.0	0.0	0.07305502846
9	0.0	0.06274509804	0.0	0.0	0.4196078431	0.0	0.0	0.0	0	0.0	0.0	0.005882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3058823529	0.0	0.0	0.0
