EMM	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
SRSE	0.2445785589	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06638492461	0.6339689005	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05506761595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRCE	0.06840143034	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004401827348	0	0.0	0.0	0.0	0.0	0.0	0.3200030167	0.0	0.0	0.0	0.0	0.0	0.0	0.04253534126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5569486218	0.0	0.0	0.0	0.007709762618	0.0	0.0	0.0	0.0
SPPS	0.0	0	0.0	0.1373599307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1119887328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03510694432	0.0	0.0	0.0	0.0	0.5262126685	0.0	0.0	0.0	0.0	0.0	0.0	0.1893317237	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPPC	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.5279033061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4720966939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPPN	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.1249513865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05991397413	0.0	0.0	0.00807018073	0.4468528397	0.0	0.0	0.0	0.0	0.0	0.0	0.1628118632	0.0	0.0	0.0	0.0	0.0	0.0	0.1973997557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRSG	0.0	0	0.7280654831	0.0	0.01754261695	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.168829698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08556220199	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CANO	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASO	0.0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NWPP	0.0	0	0.0	0.0	0.007847447184	0.0	0.0	0.0	0.0	0.0	0.0	0	0.02737481576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08010021643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3108984448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5737790759	0.0	0.0	0.0
RMRG	0.0	0	0.0	0.0	0.0	0.9246948289	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003585593438	0.0	0.0	0.0	0.018985191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0087198939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04401449278
BASN	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.187111337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3754243419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.401700012	0.0	0.0	0.0	0.0	0.0	0.03576430903
