CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0.0	0.0	0.0	0.0	0.0	0	0.2991192683	0.1902341919	0.4291280834	0.08151845644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0	0.0	0.2780958005	0.05231959741	0.1580992898	0.0	0	0.0	0.0	0.0	0.4913878951	0.02009741717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0	0.0	0.7242894714	0.01514719262	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01116859686	0.2444833956	0.0	0.0	0.0	0.0	0.004911343571	0.0
5	0	0.002517726939	0.0	0.0	0.0	0.0	0	0.0	0.0	0.3548180682	0.1881245497	0.0	0.2994644215	0.1485650356	0.002773766974	0.003736431152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.05720419588	0.0	0.0	0.0	0.0828669378	0.8599288663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0	0.0	0.0	0.0	0.0	0.6550578734	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3449421266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0	0.0	0.00133532013	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00692828505	0.0	0.0	0.0	0.2982791109	0.08216711345	0.6112901704
9	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001689450875	0.01478288056	0.02171205967	0.4412772911	0.0	0.0
