BA	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
BA_Hot-Humid	0.9408596087	1	0.0	0.0	0	0.6931403872	0.0	0	0	0.0	0.0	0	0	0.1584463301	0.336892307	0	0.1958211396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA_Mixed-Humid	0.02132202002	0	0.0	0.5112549251	0	0.3068596128	0.0	1	0	0.6632963562	0.248457971	0	1	0.8321746258	0.663107693	1	0.6521632576	0.9375588395	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA_Very Cold	0.0	0	0.08278471461	0.0	0	0.0	0.004446037557	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.1434135416	0.0	0.0	0.0	0.0	0.02439512481	0.006238823249
BA_Subarctic	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BA_Cold	0.0	0	0.9172152854	0.4887450749	1	0.0	0.9955539624	0	1	0.3367036438	0.751542029	1	0	0.009379044138	0.0	0	0.0	0.06244116048	0.8565864584	0.08650998553	0.008010692582	0.0005678006616	0.2823820753	0.9699682361	0.6953393648
BA_Hot-Dry	0.03769643971	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.07394011378	0.0	0.0	0.8019313661	0.4784321027	0.9625761306	0.0	0.0	0.298421812
BA_Mixed-Dry	0.0001219315983	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.07807548896	0.0	0.0	0.1115586483	0.02778087687	0.0008051157857	0.0	0.005636639098	0.0
BA_Marine	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.4857763279	0.03605095292	0.7176179247	0.0	0.0
