CDIV	AIA_CZ1	AIA_CZ2	AIA_CZ3	AIA_CZ4	AIA_CZ5
1	0.07044	0.13487	0	0	0
2	0.13854	0.19219	0.41823	0	0
3	0.28803	0.47563	0	0	0
4	0.24615	0.07497	0.13876	0	0
5	0	0	0.24293	0.40379	0.35346
6	0	0	0.09947	0.12486	0.04198
7	0	0	0.04431	0.12909	0.54244
8	0.20464	0.06465	0	0	0.05122
9	0.0522	0.05769	0.0563	0.34226	0.01089
