End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30009396087028395,0.13522864763573136,0,0,0,0,0,0,0.18674890384504225,0,0,0,0,0,0,0,0,0,0,0,0,0.26002979262710196,0,0,0,0,0,0,0,0,0,0,0,0,0.11789869502184032,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1261165175732861,0,0,0,0.13210045416031918,0,0,0,0,0,0,0.2730193225502363,0.3079741955126802,0,0,0,0.03264226122787408,0.09707484920734089,0,0,0,0,0,0,0,0,0,0,0,0.03107239976826329,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0,0.026145114874601444,0.014162754018018505,0.35632869074970247,0.14221331810202997,0,0,0,0,0,0,0,0,0,0.08622544194764521,0,0,0,0,0,0,0.1366486371059914,0,0,0,0,0,0,0,0,0,0,0,0,0.08156225983465117,0,0,0,0,0.12844704794715378,0,0,0,0.028266735420206038,0
water heating,6,0,0.24645196139371325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22920064147859062,0,0,0,0,0,0,0,0.14812293460704715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376224462520649,0,0,0,0,0,0,0,0
water heating,7,0,0,0.05906141694963921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1185336626832635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08753006039765933,0,0,0,0,0,0,0.734874859969438,0,0,0,0,0,0,0
water heating,8,0,0,0,0.26746095869613223,0,0.2504838323004195,0,0,0,0,0,0,0,0.060157230220534375,0,0,0,0,0,0,0,0,0,0,0,0,0.03218692674321346,0,0,0,0,0,0.08702662764687981,0.1633852737659667,0,0,0,0,0,0,0,0,0,0,0.11736615902023037,0,0,0,0,0,0.02193299160662351
water heating,9,0.009357118099587272,0,0,0,0.7845943142387432,0,0,0,0,0,0,0.035672988702880826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061406196849160405,0,0,0,0,0,0,0,0,0,0.10896938210962846,0,0,0
fans and pumps,1,0,0,0,0,0,0,0.2569763885710755,0,0,0,0,0,0,0,0,0,0,0,0,0.4834525082153025,0,0.08423406889174725,0,0,0,0,0,0,0,0,0.08032509393355429,0,0,0,0,0,0,0,0,0.06844541946711163,0,0,0,0,0,0,0.026566520921208765,0,0,0,0
fans and pumps,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23289942402700842,0,0,0.44035599263364233,0,0,0,0.3267445833393493,0,0,0,0,0,0,0,0,0,0,0,0
fans and pumps,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28269975329480873,0.1390103208572908,0,0,0,0,0,0,0.190453711187163,0,0,0,0,0,0,0,0,0,0,0,0,0.27313476602123943,0,0,0,0,0,0,0,0,0,0,0,0,0.11470144863949809,0,0
