CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0.314718479	0.197431685	0.404120041	0.083729796	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.210932477	0.1253702	0.313825602	0	0	0	0	0	0.22133169	0.128540032	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.495299063	0.102771343	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163823946	0.23425832	0	0	0	0	0.003847328	0
5	0	0.099501142	0	0	0	0	0	0	0	0.127977948	0.09873724	0	0.182125235	0.348462987	0.140196095	0.002999353	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0.113490727	0	0	0	0	0.023987991	0	0	0	0.271563604	0.590957678	0	0	0	0	0	0	0	0	0
7	0.47600499	0	0	0	0	0.164516236	0	0	0	0	0	0	0	0	0	0	0.343433624	0	0	0.01604515	0	0	0	0	0
8	0	0	0.00109178	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014372062	0	0.005786123	0.217604733	0	0	0.186543038	0.340951955	0.233650309
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003016328	0.262518627	0.3903033	0.317207568	0	0
