CDIV	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
1	0.0	0.0	0.0	0.0	0.0	0.0	0.2303415409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09293089754	0.0	0.4886814932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07903097697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06016679905	0.0	0.0	0.0	0.0	0.0	0.0488482923	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2412714956	0.0	0.4959428274	0.0	0.0	0.0	0.0	0.0	0.2627856771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2763638615	0.1270666914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2156789894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2424917952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1383986625	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1563685305	0.1338553775	0.0	0.0	0.0	0.0	0.0	0.0	0.281047351	0.0	0.2317386517	0.0	0.09041967454	0.0	0.0	0.0	0.0	0.0	0.0	0.06423589869	0.0	0.0	0.0	0.0	0.0	0.0	0.04233451609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0164776853	0.02407417751	0.2554320505	0.1408702452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1081383008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1564542255	0.0	0.0	0.0	0.0	0.0	0.0	0.06875942579	0.0	0.0	0.0	0.0	0.0	0.1976763671	0.0	0.0321175222	0.0	0.0
6	0.2310059627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2319676861	0.0	0.0	0.0	0.0	0.0	0.0	0.1502211964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3868051548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.08958528485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1048284084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1162394618	0.0	0.0	0.0	0.0	0.0	0.0	0.6893468449	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.2313009816	0.0	0.0	0.2165076732	0.0	0.0	0.0	0.0	0.0	0.0	0.07797594359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07203096917	0.0	0.1202820406	0.0	0.0	0.09346052813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1436471727	0.0	0.0	0.0	0.0	0.0	0.044794691
9	0.0	0.03831586365	0.0	0.0	0.675504272	0.0	0.0	0.0	0.0	0.0	0.0	0.01840923104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09530520567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1724654276	0.0	0.0	0.0
