Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
resistance heat,heating,3,0,0,0.118831904,0.257401715,0.098770425,0,0,0,0,0,0.386426145,0.138569811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,4,0,0,0.257381338,0.235704497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275071633,0.227233088,0,0,0,0,0.004609443,0,0
resistance heat,heating,5,0,0.435974205,0,0,0,0,0,0,0,0.053690696,0.05723169,0,0.103581299,0.194725933,0.151773376,0.003022801,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,6,0,0,0,0,0,0.066799822,0,0,0,0,0.024522858,0,0,0,0.284731469,0.62394585,0,0,0,0,0,0,0,0,0,0
resistance heat,heating,7,0.62159289,0,0,0,0,0.21256963,0,0,0,0,0,0,0,0,0,0,0.158055874,0,0,0.007781605,0,0,0,0,0,0
resistance heat,heating,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009544873,0,0.001164009,0.429170062,0,0,0.067745315,0.232452567,0.259923175,0
resistance heat,heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003511901,0.260382407,0.2972295,0.438876192,0,0,0
all,water heating,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,2,0,0,0,0,0,0,0,0.197677523,0.186599039,0.5346147,0.081108738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,3,0,0,0.163674619,0.206298571,0.156683748,0,0,0,0,0,0.339260868,0.134082194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,water heating,4,0,0,0.320613431,0.209608818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248906727,0.216378123,0,0,0,0,0.004492901,0,0
all,water heating,5,0,0.372734775,0,0,0,0,0,0,0,0.065745272,0.069313836,0,0.107149915,0.233316672,0.148496437,0.003243092,0,0,0,0,0,0,0,0,0,0
all,water heating,6,0,0,0,0,0,0.061980286,0,0,0,0,0.022350221,0,0,0,0.27919523,0.636474263,0,0,0,0,0,0,0,0,0,0
all,water heating,7,0.599694198,0,0,0,0,0.214893103,0,0,0,0,0,0,0,0,0,0,0.174548674,0,0,0.010864025,0,0,0,0,0,0
all,water heating,8,0,0,0.000496617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011360109,0,0.00192439,0.48587746,0,0,0.074554597,0.176857657,0.24892917,0
all,water heating,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002783779,0.208243311,0.267907595,0.521065315,0,0,0
all,cooking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,2,0,0,0,0,0,0,0,0.274265655,0.184680288,0.464974971,0.076079086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,3,0,0,0.135205478,0.172110033,0.191796911,0,0,0,0,0,0.318740574,0.182147004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,cooking,4,0,0,0.374745478,0.168294626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254846991,0.197892997,0,0,0,0,0.004219907,0,0
all,cooking,5,0,0.303530899,0,0,0,0,0,0,0,0.085344747,0.076504544,0,0.132188494,0.228321812,0.171466769,0.002642734,0,0,0,0,0,0,0,0,0,0
all,cooking,6,0,0,0,0,0,0.074525699,0,0,0,0,0.023059369,0,0,0,0.262849552,0.63956538,0,0,0,0,0,0,0,0,0,0
all,cooking,7,0.587530448,0,0,0,0,0.196356928,0,0,0,0,0,0,0,0,0,0,0.196858432,0,0,0.019254191,0,0,0,0,0,0
all,cooking,8,0,0,0.000427131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01002335,0,0.001338345,0.366649581,0,0,0.060738083,0.259468079,0.30135543,0
all,cooking,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002567157,0.311675602,0.433296457,0.252460783,0,0,0
all,drying,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,2,0,0,0,0,0,0,0,0.188223544,0.202932764,0.51861352,0.090230172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,3,0,0,0.13714128,0.177931437,0.193708609,0,0,0,0,0,0.325266199,0.165952474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,drying,4,0,0,0.374578487,0.165577042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259789416,0.195650678,0,0,0,0,0.004404377,0,0
all,drying,5,0,0.301518258,0,0,0,0,0,0,0,0.08457682,0.076991455,0,0.129745298,0.231993647,0.172412976,0.002761547,0,0,0,0,0,0,0,0,0,0
all,drying,6,0,0,0,0,0,0.073013573,0,0,0,0,0.022456916,0,0,0,0.263077627,0.641451883,0,0,0,0,0,0,0,0,0,0
all,drying,7,0.584595251,0,0,0,0,0.195779066,0,0,0,0,0,0,0,0,0,0,0.200805966,0,0,0.018819717,0,0,0,0,0,0
all,drying,8,0,0,0.000481835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010279143,0,0.001445504,0.365905368,0,0,0.06225306,0.256304006,0.303331085,0
all,drying,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270808,0.315297889,0.411904499,0.270089532,0,0,0
all,clothes washing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,2,0,0,0,0,0,0,0,0.197380179,0.201979033,0.512347159,0.088293629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,3,0,0,0.135570256,0.176647804,0.195488962,0,0,0,0,0,0.3267554,0.165537579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,clothes washing,4,0,0,0.372988819,0.166621216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260533133,0.195425416,0,0,0,0,0.004431415,0,0
all,clothes washing,5,0,0.300339827,0,0,0,0,0,0,0,0.084619324,0.077846054,0,0.130158508,0.232246352,0.172043386,0.002746549,0,0,0,0,0,0,0,0,0,0
all,clothes washing,6,0,0,0,0,0,0.073475029,0,0,0,0,0.022449666,0,0,0,0.263456726,0.64061858,0,0,0,0,0,0,0,0,0,0
all,clothes washing,7,0.584524675,0,0,0,0,0.196207899,0,0,0,0,0,0,0,0,0,0,0.200549229,0,0,0.018718197,0,0,0,0,0,0
all,clothes washing,8,0,0,0.000477054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010272557,0,0.001431161,0.366281843,0,0,0.061889769,0.256654899,0.302992717,0
all,clothes washing,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002765927,0.315532576,0.412484634,0.269216863,0,0,0
all,dishwasher,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,dishwasher,2,0,0,0,0,0,0,0,0.231725422,0.190382728,0.498427317,0.079464533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,dishwasher,3,0,0,0.136608652,0.170939831,0.189955246,0,0,0,0,0,0.317851815,0.184644455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,dishwasher,4,0,0,0.383919516,0.166281287,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251713926,0.194190905,0,0,0,0,0.003894365,0,0
all,dishwasher,5,0,0.304371383,0,0,0,0,0,0,0,0.08728229,0.072746254,0,0.136678384,0.224581759,0.171855591,0.002484341,0,0,0,0,0,0,0,0,0,0
all,dishwasher,6,0,0,0,0,0,0.071936722,0,0,0,0,0.022091173,0,0,0,0.261209398,0.644762707,0,0,0,0,0,0,0,0,0,0
all,dishwasher,7,0.60778671,0,0,0,0,0.188769443,0,0,0,0,0,0,0,0,0,0,0.185201922,0,0,0.018241926,0,0,0,0,0,0
all,dishwasher,8,0,0,0.000382276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008027802,0,0.001251086,0.355899218,0,0,0.05876629,0.263805387,0.311867941,0
all,dishwasher,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002665507,0.314643276,0.416424061,0.266267156,0,0,0
all,lighting,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,lighting,2,0,0,0,0,0,0,0,0.274270432,0.184629906,0.464988594,0.076111067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,lighting,3,0,0,0.1351629,0.172092217,0.191984417,0,0,0,0,0,0.318622088,0.182138378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,lighting,4,0,0,0.374697658,0.168308654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254911215,0.197864433,0,0,0,0,0.00421804,0,0
all,lighting,5,0,0.303301409,0,0,0,0,0,0,0,0.085369133,0.076567445,0,0.132283888,0.228450862,0.171369174,0.002658089,0,0,0,0,0,0,0,0,0,0
all,lighting,6,0,0,0,0,0,0.074361933,0,0,0,0,0.023045072,0,0,0,0.263100733,0.639492262,0,0,0,0,0,0,0,0,0,0
all,lighting,7,0.587530448,0,0,0,0,0.196356928,0,0,0,0,0,0,0,0,0,0,0.196858432,0,0,0.019254191,0,0,0,0,0,0
all,lighting,8,0,0,0.000426828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010016219,0,0.001337393,0.366986313,0,0,0.060694875,0.259283499,0.301254873,0
all,lighting,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002567157,0.311675602,0.433296457,0.252460783,0,0,0
all,refrigeration,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,refrigeration,2,0,0,0,0,0,0,0,0.26698025,0.192669519,0.464906067,0.075444164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,refrigeration,3,0,0,0.13902993,0.17192052,0.197105723,0,0,0,0,0,0.315837664,0.176106163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,refrigeration,4,0,0,0.367326577,0.173790894,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255868298,0.198786956,0,0,0,0,0.004227275,0,0
all,refrigeration,5,0,0.315091817,0,0,0,0,0,0,0,0.083169906,0.075690854,0,0.126368337,0.227955072,0.168737743,0.002986272,0,0,0,0,0,0,0,0,0,0
all,refrigeration,6,0,0,0,0,0,0.076099046,0,0,0,0,0.022888251,0,0,0,0.274161447,0.626851256,0,0,0,0,0,0,0,0,0,0
all,refrigeration,7,0.575930234,0,0,0,0,0.203282529,0,0,0,0,0,0,0,0,0,0,0.202269598,0,0,0.018517639,0,0,0,0,0,0
all,refrigeration,8,0,0,0.000449079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011177087,0,0.001646624,0.374681902,0,0,0.063370091,0.251359713,0.297315503,0
all,refrigeration,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030708,0.311020613,0.431414413,0.254494175,0,0,0
all,ceiling fan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,ceiling fan,2,0,0,0,0,0,0,0,0.272719321,0.185821744,0.465319689,0.076139246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,ceiling fan,3,0,0,0.134636044,0.172402297,0.192257826,0,0,0,0,0,0.319355436,0.181348398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,ceiling fan,4,0,0,0.374161971,0.168963106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255542302,0.197055073,0,0,0,0,0.004277547,0,0
all,ceiling fan,5,0,0.303281039,0,0,0,0,0,0,0,0.086442768,0.076261221,0,0.131858204,0.227206241,0.172154186,0.00279634,0,0,0,0,0,0,0,0,0,0
all,ceiling fan,6,0,0,0,0,0,0.073310045,0,0,0,0,0.02317787,0,0,0,0.263170317,0.640341767,0,0,0,0,0,0,0,0,0,0
all,ceiling fan,7,0.588381578,0,0,0,0,0.194419576,0,0,0,0,0,0,0,0,0,0,0.198448224,0,0,0.018750622,0,0,0,0,0,0
all,ceiling fan,8,0,0,0.000319578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010745816,0,0.001438102,0.370071506,0,0,0.057284385,0.256661207,0.303479407,0
all,ceiling fan,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002760637,0.302918967,0.447365216,0.24695518,0,0,0
all,misc,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,misc,2,0,0,0,0,0,0,0,0.274270432,0.184629906,0.464988594,0.076111067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,misc,3,0,0,0.1351629,0.172092217,0.191984417,0,0,0,0,0,0.318622088,0.182138378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,misc,4,0,0,0.374697658,0.168308654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254911215,0.197864433,0,0,0,0,0.00421804,0,0
all,misc,5,0,0.303301409,0,0,0,0,0,0,0,0.085369133,0.076567445,0,0.132283888,0.228450862,0.171369174,0.002658089,0,0,0,0,0,0,0,0,0,0
all,misc,6,0,0,0,0,0,0.074361933,0,0,0,0,0.023045072,0,0,0,0.263100733,0.639492262,0,0,0,0,0,0,0,0,0,0
all,misc,7,0.587530448,0,0,0,0,0.196356928,0,0,0,0,0,0,0,0,0,0,0.196858432,0,0,0.019254191,0,0,0,0,0,0
all,misc,8,0,0,0.000426828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010016219,0,0.001337393,0.366986313,0,0,0.060694875,0.259283499,0.301254873,0
all,misc,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002567157,0.311675602,0.433296457,0.252460783,0,0,0
all,pool heaters,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool heaters,2,0,0,0,0,0,0,0,0.100817439,0.237057221,0.583106267,0.079019074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool heaters,3,0,0,0.114982578,0.25087108,0.142857143,0,0,0,0,0,0.348432056,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool heaters,4,0,0,0.282608696,0.239130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304347826,0.173913043,0,0,0,0,0,0,0
all,pool heaters,5,0,0.585464334,0,0,0,0,0,0,0,0.045760431,0.043068641,0,0.051816958,0.141991925,0.129878869,0.002018843,0,0,0,0,0,0,0,0,0,0
all,pool heaters,6,0,0,0,0,0,0.062271062,0,0,0,0,0.014652015,0,0,0,0.311355311,0.611721612,0,0,0,0,0,0,0,0,0,0
all,pool heaters,7,0.66122449,0,0,0,0,0.193877551,0,0,0,0,0,0,0,0,0,0,0.136734694,0,0,0.008163265,0,0,0,0,0,0
all,pool heaters,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009174312,0,0.003058104,0.813455657,0,0,0.012232416,0.027522936,0.134556575,0
all,pool heaters,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002457002,0.368550369,0.447174447,0.181818182,0,0,0
all,pool pumps,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool pumps,2,0,0,0,0,0,0,0,0.133092224,0.229113924,0.553345389,0.084448463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool pumps,3,0,0,0.122188139,0.202198364,0.198364008,0,0,0,0,0,0.314161554,0.163087935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,pool pumps,4,0,0,0.298277425,0.243880326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332728921,0.125113327,0,0,0,0,0,0,0
all,pool pumps,5,0,0.499728113,0,0,0,0,0,0,0,0.057186877,0.056280587,0,0.069059271,0.144281312,0.171560631,0.001903208,0,0,0,0,0,0,0,0,0,0
all,pool pumps,6,0,0,0,0,0,0.064401422,0,0,0,0,0.023706045,0,0,0,0.279731331,0.632161201,0,0,0,0,0,0,0,0,0,0
all,pool pumps,7,0.623438565,0,0,0,0,0.185782421,0,0,0,0,0,0,0,0,0,0,0.175562117,0,0,0.015216898,0,0,0,0,0,0
all,pool pumps,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012946806,0,0.000562905,0.73008725,0,0,0.011539544,0.039121869,0.205741627,0
all,pool pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003578828,0.392352609,0.470145037,0.133923526,0,0,0
all,portable electric spas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,portable electric spas,2,0,0,0,0,0,0,0,0.255108992,0.242847411,0.405653951,0.096389646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,portable electric spas,3,0,0,0.126521461,0.193465727,0.229980782,0,0,0,0,0,0.295964126,0.154067905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,portable electric spas,4,0,0,0.390859482,0.140518417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203956344,0.260572988,0,0,0,0,0.004092769,0,0
all,portable electric spas,5,0,0.419110907,0,0,0,0,0,0,0,0.083180568,0.063473877,0,0.096471127,0.156966086,0.178735105,0.002062328,0,0,0,0,0,0,0,0,0,0
all,portable electric spas,6,0,0,0,0,0,0.053833605,0,0,0,0,0.026916803,0,0,0,0.243882545,0.675367047,0,0,0,0,0,0,0,0,0,0
all,portable electric spas,7,0.632163946,0,0,0,0,0.146578673,0,0,0,0,0,0,0,0,0,0,0.202153526,0,0,0.019103856,0,0,0,0,0,0
all,portable electric spas,8,0,0,0.000386698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01121423,0,0.002320186,0.389404486,0,0,0.076566125,0.19992266,0.320185615,0
all,portable electric spas,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002826356,0.314432079,0.408761703,0.273979862,0,0,0
all,fans and pumps,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,fans and pumps,2,0,0,0,0,0,0,0,0.269618277,0.191272882,0.463573152,0.075535689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,fans and pumps,3,0,0,0.138866348,0.172016706,0.196539379,0,0,0,0,0,0.315560859,0.177016706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
all,fans and pumps,4,0,0,0.367842225,0.173214191,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256490245,0.198223444,0,0,0,0,0.004229895,0,0
all,fans and pumps,5,0,0.313942505,0,0,0,0,0,0,0,0.083204121,0.075522643,0,0.126592882,0.228367998,0.169411324,0.002958527,0,0,0,0,0,0,0,0,0,0
all,fans and pumps,6,0,0,0,0,0,0.075830638,0,0,0,0,0.02302264,0,0,0,0.273037342,0.62810938,0,0,0,0,0,0,0,0,0,0
all,fans and pumps,7,0.577410625,0,0,0,0,0.202756809,0,0,0,0,0,0,0,0,0,0,0.201158429,0,0,0.018674136,0,0,0,0,0,0
all,fans and pumps,8,0,0,0.000403755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011128495,0,0.00156455,0.374356516,0,0,0.062001615,0.252195417,0.298349652,0
all,fans and pumps,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283521,0.313170353,0.429627946,0.254366491,0,0,0
