CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0	0.2889351444	0.1837572818	0.4697659974	0.05754157632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.1491841261	0.1614970361	0.1974190783	0.0	0	0.0	0.0	0.0	0.2825827712	0.2093169882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.4680595872	0.105050067	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2060790963	0.2174136968	0.0	0.0	0.0	0.0	0.003397552671	0.0
5	0.0	0.1473223042	0.0	0.0	0.0	0.0	0	0.0	0.0	0.1642719891	0.1381963177	0.0	0.205095	0.1988087759	0.1434787098	0.002826903285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.06739243705	0	0.0	0.0	0.0	0.02562231733	0.0	0.0	0.0	0.1902536447	0.716731601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.515549629	0.0	0.0	0.0	0.0	0.2233090834	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2440600336	0.0	0.0	0.01708125395	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0006116243094	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01306542162	0.0	0.003173401992	0.214676335	0.0	0.0	0.1141269824	0.2599811369	0.3943650978
9	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003112320032	0.2723314184	0.399981315	0.2770696387	0.0	0.0
