End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
water heating,1,0,0,0,0,0,0.25791995482065067,0,0,0,0,0,0,0,0,0,0,0,0.39057451356042283,0,0.11638946616813621,0,0,0,0,0,0,0,0,0.125915823828722,0,0,0,0,0,0,0,0,0.05162359664839925,0,0,0,0,0,0,0.057576644973668975,0,0,0,0,0,0
water heating,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15572319357017964,0,0,0.3827839920747712,0,0,0,0.46149281435504913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water heating,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2060964915057955,0.17973724613068262,0,0,0,0,0,0,0.18983030402836834,0,0,0,0,0,0,0,0,0,0,0,0,0.26018741371403326,0,0,0,0,0,0,0,0,0,0,0,0,0.16414854462112027,0,0,0,0
water heating,4,0,0,0,0,0,0,0,0,0,0,0.1469575979446225,0,0,0,0.09863413704589863,0,0,0,0,0,0,0.2484242676487055,0.30948252235701956,0,0,0,0.06050919181500538,0.07940733798778593,0,0,0,0,0,0,0,0,0,0,0,0.056584945200962515,0,0,0,0,0,0,0,0,0,0,0
water heating,5,0,0,0,0,0,0,0.008104149886401419,0.015448917707266903,0.2989796113388747,0.13970382800668207,0,0,0,0,0,0,0,0,0.08845294913992531,0,0,0,0,0,0,0.1869541488446899,0,0,0,0,0,0,0,0,0,0,0,0,0.0868878362896289,0,0,0,0,0.1371613755344082,0,0,0,0.038307183252122706,0,0,0
water heating,6,0.24370135869112403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25273645029671765,0,0,0,0,0,0,0,0.12125743844244065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3823047525697177,0,0,0,0,0,0,0,0,0,0
water heating,7,0,0.10579353459162494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12413728163324247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09791399768295142,0,0,0,0,0,0,0.6721551860921812,0,0,0,0,0,0,0,0,0
water heating,8,0,0,0.3248308364305146,0,0.20977694883216297,0,0,0,0,0,0,0.12189064541945133,0,0,0,0,0,0,0,0,0,0,0,0,0.07560571080607241,0,0,0,0,0,0.07319113250437329,0.09960394612170997,0,0,0,0,0,0,0,0,0,0,0.060717827360097565,0,0,0,0,0,0.034382952525617905,0,0
water heating,9,0,0,0,0.42113909772263824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2106507501222258,0,0,0,0,0,0,0,0,0,0.36821015215513603,0,0,0,0,0
cooking,1,0,0,0,0,0,0.24924114431409158,0,0,0,0,0,0,0,0,0,0,0,0.42892013410666896,0,0.10524327451356737,0,0,0,0,0,0,0,0,0.0993169729664733,0,0,0,0,0,0,0,0,0.07117360340515973,0,0,0,0,0,0,0.04610487069403904,0,0,0,0,0,0
cooking,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17425901872627947,0,0,0.43579594231313623,0,0,0,0.38994503896058424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooking,3,0,0,0,0,0,0,0,0,0,0,0,0,0.22227506529772964,0.15096661244103243,0,0,0,0,0,0,0.2023944378857862,0,0,0,0,0,0,0,0,0,0,0,0,0.28557970508251834,0,0,0,0,0,0,0,0,0,0,0,0,0.13878417929293335,0,0,0,0
cooking,4,0,0,0,0,0,0,0,0,0,0,0.13934975543335104,0,0,0,0.14216474190493936,0,0,0,0,0,0,0.237457559929407,0.303650285528697,0,0,0,0.03949592000989569,0.09536953073289041,0,0,0,0,0,0,0,0,0,0,0,0.042512206460819366,0,0,0,0,0,0,0,0,0,0,0
cooking,5,0,0,0,0,0,0,0.008644860399427202,0.013457097498644086,0.35273450987015187,0.1388677045625032,0,0,0,0,0,0,0,0,0.08102068211412973,0,0,0,0,0,0,0.1665183274368734,0,0,0,0,0,0,0,0,0,0,0,0,0.08222999968657342,0,0,0,0,0.12706105341552476,0,0,0,0.029465765016172256,0,0,0
cooking,6,0.2592589922549502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23003516260469287,0,0,0,0,0,0,0,0.1521055649348581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35860028020549894,0,0,0,0,0,0,0,0,0,0
cooking,7,0,0.08606968230419272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12605732443435821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09820078565249611,0,0,0,0,0,0,0.689672207608953,0,0,0,0,0,0,0,0,0
cooking,8,0,0,0.3017793827760601,0,0.2587350288737744,0,0,0,0,0,0,0.0730234211317156,0,0,0,0,0,0,0,0,0,0,0,0,0.04994637811772327,0,0,0,0,0,0.07606722370289698,0.09697733270122072,0,0,0,0,0,0,0,0,0,0,0.11613074515714401,0,0,0,0,0,0.027340487539464907,0,0
cooking,9,0,0,0,0.6637740638647536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11371148951717516,0,0,0,0,0,0,0,0,0,0.2225144466180712,0,0,0,0,0
drying,1,0,0,0,0,0,0.24491012054005368,0,0,0,0,0,0,0,0,0,0,0,0.419637363549591,0,0.11227869350404966,0,0,0,0,0,0,0,0,0.10301580665026619,0,0,0,0,0,0,0,0,0.07070836287786321,0,0,0,0,0,0,0.049449652878176105,0,0,0,0,0,0
drying,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17326489035001874,0,0,0.41289563445556915,0,0,0,0.4138394751944121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
