region,building type,total,heating,cooling,fans and pumps,water heating,lighting,refrigeration,plug loads,ceiling fan,drying,clothes washing,dishwasher,pool heaters,pool pumps,cooking,portable electric spas
NWPP,com,5525848192,0.141073545,0.087804246,0.188031676,0.060454059,0.253512225,0.004607796,0.264516453,,,,,,,,
NYCW,com,7093974164,0.131527135,0.174362397,0.159624004,0.049729103,0.212942536,0.001823446,0.269991379,,,,,,,,
NYUP,com,5243474836,0.168496299,0.128238606,0.160148648,0.064346842,0.236195025,0.003599586,0.238974993,,,,,,,,
PJMC,com,6458130733,0.084689027,0.148581803,0.186232323,0.051980721,0.245177197,0.002379469,0.28095946,,,,,,,,
PJMD,com,5109868972,0.076859677,0.216799408,0.175860218,0.045039541,0.216591928,0.002628146,0.266221081,,,,,,,,
PJME,com,16368912092,0.129480798,0.167190318,0.158869737,0.052755388,0.233062689,0.002531643,0.256109426,,,,,,,,
PJMW,com,15046933214,0.109605886,0.160351183,0.178545413,0.049095898,0.242564384,0.003628113,0.256209122,,,,,,,,
RMRG,com,3109282383,0.10333776,0.115495391,0.213077628,0.05586464,0.242305961,0.004392469,0.265526152,,,,,,,,
SPPC,com,3810013175,0.080183506,0.189455596,0.167204051,0.036741265,0.272557906,0.003832072,0.250025603,,,,,,,,
SPPN,com,2021185525,0.181661326,0.129703617,0.17714731,0.052583846,0.232230071,0.006601269,0.220072563,,,,,,,,
SPPS,com,4665860131,0.061863917,0.260028736,0.189527707,0.036769039,0.22880166,0.005015792,0.217993149,,,,,,,,
SRCA,com,9593051764,0.058036496,0.243056688,0.176646513,0.047171863,0.233677019,0.003555734,0.237855687,,,,,,,,
SRCE,com,7466304419,0.05851769,0.222385209,0.175942212,0.041616892,0.248291908,0.003425216,0.249820873,,,,,,,,
SRSE,com,10719652608,0.038013316,0.26669528,0.181360149,0.042007542,0.230118681,0.003443277,0.238361755,,,,,,,,
SRSG,com,5562156969,0.030587279,0.288823099,0.206408797,0.040083907,0.212205878,0.004062842,0.217828198,,,,,,,,
TRE,com,17850497253,0.034643354,0.317944659,0.176889722,0.037775275,0.20552107,0.00323482,0.2239911,,,,,,,,
