End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
pool heaters,1,0,0,0,0,0,0.219086772,0,0,0,0,0,0,0,0,0,0,0,0.443666505,0,0.112852222,0,0,0,0,0,0,0,0,0.100902834,0,0,0,0,0,0,0,0,0.080751318,0,0,0,0,0,0,0.04274035,0,0,0,0,0,0
pool heaters,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214912877,0,0,0.463310775,0,0,0,0.321776348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool heaters,3,0,0,0,0,0,0,0,0,0,0,0,0,0.236744307,0.100533344,0,0,0,0,0,0,0.21767054,0,0,0,0,0,0,0,0,0,0,0,0,0.247347221,0,0,0,0,0,0,0,0,0,0,0,0,0.197704588,0,0,0,0
pool heaters,4,0,0,0,0,0,0,0,0,0,0,0.058782643,0,0,0,0.297495999,0,0,0,0,0,0,0.137016273,0.348397462,0,0,0,0.022455598,0.127190467,0,0,0,0,0,0,0,0,0,0,0,0.008661558,0,0,0,0,0,0,0,0,0,0,0
pool heaters,5,0,0,0,0,0,0,0.004551113,0.002057393,0.405293759,0.189861105,0,0,0,0,0,0,0,0,0.042914587,0,0,0,0,0,0,0.185948156,0,0,0,0,0,0,0,0,0,0,0,0,0.096439463,0,0,0,0,0.06159459,0,0,0,0.011339833,0,0,0
pool heaters,6,0.417063898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152047638,0,0,0,0,0,0,0,0.191485742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239402722,0,0,0,0,0,0,0,0,0,0
pool heaters,7,0,0.087246294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134881332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118209,0,0,0,0,0,0,0.659663373,0,0,0,0,0,0,0,0,0
pool heaters,8,0,0,0.551716515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19491912,0.253364365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool heaters,9,0,0,0,0.968326709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013027502,0.018645789
pool pumps,1,0,0,0,0,0,0.235247887,0,0,0,0,0,0,0,0,0,0,0,0.409295035,0,0.132848397,0,0,0,0,0,0,0,0,0.096670355,0,0,0,0,0,0,0,0,0.076958275,0,0,0,0,0,0,0.04898005,0,0,0,0,0,0
pool pumps,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231751833,0,0,0.389910428,0,0,0,0.378337739,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool pumps,3,0,0,0,0,0,0,0,0,0,0,0,0,0.232538347,0.150658551,0,0,0,0,0,0,0.256584317,0,0,0,0,0,0,0,0,0,0,0,0,0.270724907,0,0,0,0,0,0,0,0,0,0,0,0,0.089493878,0,0,0,0
pool pumps,4,0,0,0,0,0,0,0,0,0,0,0.134484943,0,0,0,0.165423109,0,0,0,0,0,0,0.188722791,0.363500295,0,0,0,0.019459292,0.103399392,0,0,0,0,0,0,0,0,0,0,0,0.025010178,0,0,0,0,0,0,0,0,0,0,0
pool pumps,5,0,0,0,0,0,0,0.003109003,0.01058299,0.341880707,0.178170516,0,0,0,0,0,0,0,0,0.063980795,0,0,0,0,0,0,0.184156934,0,0,0,0,0,0,0,0,0,0,0,0,0.08674763,0,0,0,0,0.106980509,0,0,0,0.024390915,0,0,0
