End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
refrigeration,5,0,0,0,0,0,0,0,0.009661464,0.009961802,0.310694655,0.157722174,0,0,0,0,0,0,0,0,0,0.075020651,0,0,0,0,0,0,0.172409205,0,0,0,0,0,0,0,0,0,0,0,0,0.106295658,0,0,0,0,0.116704435,0,0,0,0.041529956,0
refrigeration,6,0,0.261531768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216097589,0,0,0,0,0,0,0,0.156398784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365971859,0,0,0,0,0,0,0,0
refrigeration,7,0,0,0.081366017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123036071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136701018,0,0,0,0,0,0,0.658896893,0,0,0,0,0,0,0
refrigeration,8,0,0,0,0.292750184,0,0.209019905,0,0,0,0,0,0,0,0.072286539,0,0,0,0,0,0,0,0,0,0,0,0,0.072867852,0,0,0,0,0,0.099800133,0.098775626,0,0,0,0,0,0,0,0,0,0,0.117401329,0,0,0,0,0,0.037098432
refrigeration,9,0.024148929,0,0,0,0.63085898,0,0,0,0,0,0,0.029141428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124101191,0,0,0,0,0,0,0,0,0,0.191749472,0,0,0
plug loads,1,0,0,0,0,0,0,0.228564318,0,0,0,0,0,0,0,0,0,0,0,0,0.510378353,0,0.082353986,0,0,0,0,0,0,0,0,0.080131477,0,0,0,0,0,0,0,0,0.074390821,0,0,0,0,0,0,0.024181044,0,0,0,0
plug loads,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224493699,0,0,0.459960762,0,0,0,0.315545539,0,0,0,0,0,0,0,0,0,0,0,0
plug loads,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273592669,0.138141016,0,0,0,0,0,0,0.177181927,0,0,0,0,0,0,0,0,0,0,0,0,0.28730764,0,0,0,0,0,0,0,0,0,0,0,0,0.123776749,0,0
plug loads,4,0,0,0,0,0,0,0,0,0,0,0,0,0.140843751,0,0,0,0.149582224,0,0,0,0,0,0,0.239147954,0.346368018,0,0,0,0.026482631,0.072222481,0,0,0,0,0,0,0,0,0,0,0,0.02535294,0,0,0,0,0,0,0,0,0
plug loads,5,0,0,0,0,0,0,0,0.019793828,0.014842596,0.311761975,0.171858572,0,0,0,0,0,0,0,0,0,0.092659606,0,0,0,0,0,0,0.158519449,0,0,0,0,0,0,0,0,0,0,0,0,0.085227048,0,0,0,0,0.118986205,0,0,0,0.02635072,0
plug loads,6,0,0.239305688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236655396,0,0,0,0,0,0,0,0.120745633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403293284,0,0,0,0,0,0,0,0
plug loads,7,0,0,0.069897466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099119793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096546959,0,0,0,0,0,0,0.734435781,0,0,0,0,0,0,0
plug loads,8,0,0,0,0.285941762,0,0.238247611,0,0,0,0,0,0,0,0.059831623,0,0,0,0,0,0,0,0,0,0,0,0,0.034376675,0,0,0,0,0,0.072725014,0.153051093,0,0,0,0,0,0,0,0,0,0,0.13476491,0,0,0,0,0,0.021061311
plug loads,9,0.006636826,0,0,0,0.782501615,0,0,0,0,0,0,0.02121161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069890756,0,0,0,0,0,0,0,0,0,0.119759193,0,0,0
