CDIV	AL	AK	AZ	AR	CA	CO	CT	DE	DC	FL	GA	HI	ID	IL	IN	IA	KS	KY	LA	ME	MD	MA	MI	MN	MS	MO	MT	NE	NV	NH	NJ	NM	NY	NC	ND	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VT	VA	WA	WV	WI	WY
1	0	0	0	0	0	0	0.242142541	0	0	0	0	0	0	0	0	0	0	0	0	0.01416556	0	0.594510846	0	0	0	0	0	0	0	0.037184595	0	0	0	0	0	0	0	0	0	0.093404161	0	0	0	0	0	0.018592297	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252006263	0	0.490898415	0	0	0	0	0	0.257095322	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318255592	0.106414509	0	0	0	0	0	0	0	0.241690777	0	0	0	0	0	0	0	0	0	0	0	0	0.226730647	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106908475	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155583178	0.144396105	0	0	0	0	0	0	0.306401492	0	0.240729231	0	0.093018438	0	0	0	0	0	0	0.028382018	0	0	0	0	0	0	0.031489538	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0.025174825	0.027172827	0.035164835	0.273126873	0	0	0	0	0	0	0	0	0	0.18021978	0	0	0	0	0	0	0	0	0	0	0	0	0.150649351	0	0	0	0	0	0	0.062937063	0	0	0	0	0	0.188211788	0	0.057342657	0	0
6	0.185454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.281038961	0	0	0	0	0	0	0.13038961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403116883	0	0	0	0	0	0	0	0
7	0	0	0	0.094164456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102387268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184350133	0	0	0	0	0	0	0.619098143	0	0	0	0	0	0	0
8	0	0	0.093685832	0	0	0.353182752	0	0	0	0	0	0	0.073408624	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060574949	0	0.111396304	0	0	0.09137577	0	0	0	0	0	0	0	0	0	0	0	0	0.180441478	0	0	0	0	0	0.035934292
9	0	0.030512475	0	0	0.738705327	0	0	0	0	0	0	0.001011463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07670263	0	0	0	0	0	0	0	0	0	0.153068105	0	0	0
