DATE,VALUE
8/1/73,45.000
9/1/73,45.200
10/1/73,45.600
11/1/73,45.900
12/1/73,46.300
1/1/74,46.800
2/1/74,47.300
3/1/74,47.800
4/1/74,48.100
5/1/74,48.600
6/1/74,49.000
7/1/74,49.300
8/1/74,49.900
9/1/74,50.600
10/1/74,51.000
11/1/74,51.500
12/1/74,51.900
1/1/75,52.300
2/1/75,52.600
3/1/75,52.800
4/1/75,53.000
5/1/75,53.100
6/1/75,53.500
7/1/75,54.000
8/1/75,54.200
9/1/75,54.600
10/1/75,54.900
11/1/75,55.300
12/1/75,55.600
1/1/76,55.800
2/1/76,55.900
3/1/76,56.000
4/1/76,56.100
5/1/76,56.400
6/1/76,56.700
7/1/76,57.000
8/1/76,57.300
9/1/76,57.600
10/1/76,57.900
11/1/76,58.100
12/1/76,58.400
1/1/77,58.700
2/1/77,59.300
3/1/77,59.600
4/1/77,60.000
5/1/77,60.200
6/1/77,60.500
7/1/77,60.800
8/1/77,61.100
9/1/77,61.300
10/1/77,61.600
11/1/77,62.000
12/1/77,62.300
1/1/78,62.700
2/1/78,63.000
3/1/78,63.400
4/1/78,63.900
5/1/78,64.500
6/1/78,65.000
7/1/78,65.500
8/1/78,65.900
9/1/78,66.500
10/1/78,67.100
11/1/78,67.500
12/1/78,67.900
1/1/79,68.500
2/1/79,69.200
3/1/79,69.900
4/1/79,70.600
5/1/79,71.400
6/1/79,72.200
7/1/79,73.000
8/1/79,73.700
9/1/79,74.400
10/1/79,75.200
11/1/79,76.000
12/1/79,76.900
1/1/80,78.000
2/1/80,79.000
3/1/80,80.100
4/1/80,80.900
5/1/80,81.700
6/1/80,82.500
7/1/80,82.600
8/1/80,83.200
9/1/80,83.900
10/1/80,84.700
11/1/80,85.600
12/1/80,86.400
1/1/81,87.200
2/1/81,88.000
3/1/81,88.600
4/1/81,89.100
5/1/81,89.700
6/1/81,90.500
7/1/81,91.500
8/1/81,92.200
9/1/81,93.100
10/1/81,93.400
11/1/81,93.800
12/1/81,94.100
1/1/82,94.400
2/1/82,94.700
3/1/82,94.700
4/1/82,95.000
5/1/82,95.900
6/1/82,97.000
7/1/82,97.500
8/1/82,97.700
9/1/82,97.700
10/1/82,98.100
11/1/82,98.000
12/1/82,97.700
1/1/83,97.900
2/1/83,98.000
3/1/83,98.100
4/1/83,98.800
5/1/83,99.200
6/1/83,99.400
7/1/83,99.800
8/1/83,100.100
9/1/83,100.400
10/1/83,100.800
11/1/83,101.100
12/1/83,101.400
1/1/84,102.100
2/1/84,102.600
3/1/84,102.900
4/1/84,103.300
5/1/84,103.500
6/1/84,103.700
7/1/84,104.100
8/1/84,104.400
9/1/84,104.700
10/1/84,105.100
11/1/84,105.300
12/1/84,105.500
1/1/85,105.700
2/1/85,106.300
3/1/85,106.800
4/1/85,107.000
5/1/85,107.200
6/1/85,107.500
7/1/85,107.700
8/1/85,107.900
9/1/85,108.100
10/1/85,108.500
11/1/85,109.000
12/1/85,109.500
1/1/86,109.900
2/1/86,109.700
3/1/86,109.100
4/1/86,108.700
5/1/86,109.000
6/1/86,109.400
7/1/86,109.500
8/1/86,109.600
9/1/86,110.000
10/1/86,110.200
11/1/86,110.400
12/1/86,110.800
1/1/87,111.400
2/1/87,111.800
3/1/87,112.200
4/1/87,112.700
5/1/87,113.000
6/1/87,113.500
7/1/87,113.800
8/1/87,114.300
9/1/87,114.700
10/1/87,115.000
11/1/87,115.400
12/1/87,115.600
1/1/88,116.000
2/1/88,116.200
3/1/88,116.500
4/1/88,117.200
5/1/88,117.500
6/1/88,118.000
7/1/88,118.500
8/1/88,119.000
9/1/88,119.500
10/1/88,119.900
11/1/88,120.300
12/1/88,120.700
1/1/89,121.200
2/1/89,121.600
3/1/89,122.200
4/1/89,123.100
5/1/89,123.700
6/1/89,124.100
7/1/89,124.500
8/1/89,124.500
9/1/89,124.800
10/1/89,125.400
11/1/89,125.900
12/1/89,126.300
1/1/90,127.500
2/1/90,128.000
3/1/90,128.600
4/1/90,128.900
5/1/90,129.100
6/1/90,129.900
7/1/90,130.500
8/1/90,131.600
9/1/90,132.500
10/1/90,133.400
11/1/90,133.700
12/1/90,134.200
1/1/91,134.700
2/1/91,134.800
3/1/91,134.800
4/1/91,135.100
5/1/91,135.600
6/1/91,136.000
7/1/91,136.200
8/1/91,136.600
9/1/91,137.000
10/1/91,137.200
11/1/91,137.800
12/1/91,138.200
1/1/92,138.300
2/1/92,138.600
3/1/92,139.100
4/1/92,139.400
5/1/92,139.700
6/1/92,140.100
7/1/92,140.500
8/1/92,140.800
9/1/92,141.100
10/1/92,141.700
11/1/92,142.100
12/1/92,142.300
1/1/93,142.800
2/1/93,143.100
3/1/93,143.300
4/1/93,143.800
5/1/93,144.200
6/1/93,144.300
7/1/93,144.500
8/1/93,144.800
9/1/93,145.000
10/1/93,145.600
11/1/93,146.000
12/1/93,146.300
1/1/94,146.300
2/1/94,146.700
3/1/94,147.100
4/1/94,147.200
5/1/94,147.500
6/1/94,147.900
7/1/94,148.400
8/1/94,149.000
9/1/94,149.300
10/1/94,149.400
11/1/94,149.800
12/1/94,150.100
1/1/95,150.500
2/1/95,150.900
3/1/95,151.200
4/1/95,151.800
5/1/95,152.100
6/1/95,152.400
7/1/95,152.600
8/1/95,152.900
9/1/95,153.100
10/1/95,153.500
11/1/95,153.700
12/1/95,153.900
1/1/96,154.700
2/1/96,155.000
3/1/96,155.500
4/1/96,156.100
5/1/96,156.400
6/1/96,156.700
7/1/96,157.000
8/1/96,157.200
9/1/96,157.700
10/1/96,158.200
11/1/96,158.700
12/1/96,159.100
1/1/97,159.400
2/1/97,159.700
3/1/97,159.800
4/1/97,159.900
5/1/97,159.900
6/1/97,160.200
7/1/97,160.400
8/1/97,160.800
9/1/97,161.200
10/1/97,161.500
11/1/97,161.700
12/1/97,161.800
1/1/98,162.000
2/1/98,162.000
3/1/98,162.000
4/1/98,162.200
5/1/98,162.600
6/1/98,162.800
7/1/98,163.200
8/1/98,163.400
9/1/98,163.500
10/1/98,163.900
11/1/98,164.100
12/1/98,164.400
1/1/99,164.700
2/1/99,164.700
3/1/99,164.800
4/1/99,165.900
5/1/99,166.000
6/1/99,166.000
7/1/99,166.700
8/1/99,167.100
9/1/99,167.800
10/1/99,168.100
11/1/99,168.400
12/1/99,168.800
1/1/00,169.300
2/1/00,170.000
3/1/00,171.000
4/1/00,170.900
5/1/00,171.200
6/1/00,172.200
7/1/00,172.700
8/1/00,172.700
9/1/00,173.600
10/1/00,173.900
11/1/00,174.200
12/1/00,174.600
1/1/01,175.600
2/1/01,176.000
3/1/01,176.100
4/1/01,176.400
5/1/01,177.300
6/1/01,177.700
7/1/01,177.400
8/1/01,177.400
9/1/01,178.100
10/1/01,177.600
11/1/01,177.500
12/1/01,177.400
1/1/02,177.700
2/1/02,178.000
3/1/02,178.500
4/1/02,179.300
5/1/02,179.500
6/1/02,179.600
7/1/02,180.000
8/1/02,180.500
9/1/02,180.800
10/1/02,181.200
11/1/02,181.500
12/1/02,181.800
1/1/03,182.600
2/1/03,183.600
3/1/03,183.900
4/1/03,183.200
5/1/03,182.900
6/1/03,183.100
7/1/03,183.700
8/1/03,184.500
9/1/03,185.100
10/1/03,184.900
11/1/03,185.000
12/1/03,185.500
1/1/04,186.300
2/1/04,186.700
3/1/04,187.100
4/1/04,187.400
5/1/04,188.200
6/1/04,188.900
7/1/04,189.100
8/1/04,189.200
9/1/04,189.800
10/1/04,190.800
11/1/04,191.700
12/1/04,191.700
1/1/05,191.600
2/1/05,192.400
3/1/05,193.100
4/1/05,193.700
5/1/05,193.600
6/1/05,193.700
7/1/05,194.900
8/1/05,196.100
9/1/05,198.800
10/1/05,199.100
11/1/05,198.100
12/1/05,198.100
1/1/06,199.300
2/1/06,199.400
3/1/06,199.700
4/1/06,200.700
5/1/06,201.300
6/1/06,201.800
7/1/06,202.900
8/1/06,203.800
9/1/06,202.800
10/1/06,201.900
11/1/06,202.000
12/1/06,203.100
1/1/07,203.437
2/1/07,204.226
3/1/07,205.288
4/1/07,205.904
5/1/07,206.755
6/1/07,207.234
7/1/07,207.603
8/1/07,207.667
9/1/07,208.547
10/1/07,209.190
11/1/07,210.834
12/1/07,211.445
1/1/08,212.174
2/1/08,212.687
3/1/08,213.448
4/1/08,213.942
5/1/08,215.208
6/1/08,217.463
7/1/08,219.016
8/1/08,218.690
9/1/08,218.877
10/1/08,216.995
11/1/08,213.153
12/1/08,211.398
1/1/09,211.933
2/1/09,212.705
3/1/09,212.495
4/1/09,212.709
5/1/09,213.022
6/1/09,214.790
7/1/09,214.726
8/1/09,215.445
9/1/09,215.861
10/1/09,216.509
11/1/09,217.234
12/1/09,217.347
1/1/10,217.488
2/1/10,217.281
3/1/10,217.353
4/1/10,217.403
5/1/10,217.290
6/1/10,217.199
7/1/10,217.605
