ENDUSE	CDIV	BLDG	AREA	WIND_COND	WIND_SOL	ROOF	WALL	INFIL	PEOPLE	GRND	EQUIP_ELEC	EQUIP_NELEC	FLOOR	LIGHTS	VENT
HT	1	1	NA	0.3972	-0.1867	0.2649	0.42	0.3917	-0.0664	0.0376	-0.0894	-0.0011	0.0567	-0.445	0.2208
CL	1	1	NA	-0.0981	0.4712	0.0136	-0.0173	-0.1065	0.1008	-0.0435	0.1495	0.0168	-0.047	0.6023	-0.0418
HT	1	2	2104.7	0.2407	-0.156	0.1399	0.3375	0.4226	-0.0767	0.1025	-0.0421	-0.0028	0	-0.2277	0.2622
CL	1	2	1002.7	-0.1306	0.593	0.0457	-0.0139	-0.1944	0.1478	-0.1523	0.1677	0.0583	0	0.5527	-0.0739
HT	1	3	141.5	0.342	-0.1861	0.3857	0.5544	0.1635	-0.2605	0.1552	-0.1747	0	0	-1.2757	1.2964
CL	1	3	134	-0.0263	0.1565	-0.0125	-0.0488	-0.016	0.1508	-0.1103	0.3279	0	0	0.6814	-0.1026
HT	1	4	382.7	0.3366	-0.2355	0.2183	0.2421	0.0314	-0.1671	0.177	-0.1049	-0.0207	0	-0.472	0.9948
CL	1	4	337.7	-0.0318	0.2979	0.0101	-0.0336	-0.0062	0.2159	-0.1351	0.253	0.0439	0	0.5339	-0.1481
HT	1	5	329.1	0.7838	-0.3462	0.0935	0.5326	0	-0.245	0	-0.2276	0	0	-0.6456	1.0545
CL	1	5	292.8	-0.0497	0.1338	-0.0107	-0.0405	0	0.084	0	0.5572	0	0	0.4716	-0.1456
HT	1	6	322.2	0.7224	-0.3967	0.1441	0.519	0.3981	-0.1942	0.085	-0.2015	-0.0061	0.0055	-0.3208	0.2451
CL	1	6	201.8	-0.1375	0.6284	0.0061	-0.0218	-0.0498	0.1465	-0.0548	0.1447	0.0084	-0.0458	0.477	-0.1013
HT	1	7	1850.6	1.2758	-0.5544	0.1283	0.5713	0.1924	-0.0278	0	-0.2	0	0.0278	-0.5417	0.1283
CL	1	7	1598.6	-0.1569	0.5294	-0.003	-0.0267	-0.066	0.0366	0	0.2149	0	-0.0129	0.5377	-0.0533
HT	1	8	702.2	0.5926	-0.3312	0.2225	0.6699	0.3283	-0.0254	0	-0.1227	0	0.067	-0.5189	0.1179
CL	1	8	627.7	-0.1116	0.6159	0.0051	-0.0065	-0.0659	0.0308	0	0.1156	0	-0.0438	0.4716	-0.0113
HT	1	9	2715.3	0.4592	-0.1704	0.3675	0.4134	0.3862	-0.0696	0	-0.1151	0	0.0958	-0.5845	0.2175
CL	1	9	1729.6	-0.0748	0.3505	-0.0005	-0.0228	-0.0729	0.1006	0	0.1522	0	-0.0743	0.677	-0.035
HT	1	10	2351	0.1382	-0.1289	0.2711	0.1994	0.0848	-0.0217	0.8077	-0.1457	0	0.0511	-0.3131	0.057
CL	1	10	508.1	0	0.4076	0.2888	0.0895	0	0.0576	-0.7707	0.2427	0	-0.0895	0.774	0
HT	1	11	NA	0.6186	-0.3146	0.2057	0.3672	0.1539	-0.0382	0.442	-0.1703	-0.0006	0.0384	-0.4001	0.0979
CL	1	11	NA	-0.1145	0.5107	0.0731	0.0029	-0.0465	0.0562	-0.2101	0.2133	0.001	-0.0354	0.5932	-0.0439
HT	2	1	NA	0.4399	-0.2416	0.287	0.4504	0.4348	-0.0761	0.038	-0.1037	-0.0013	0.0768	-0.5262	0.222
CL	2	1	NA	-0.0904	0.448	0.0269	-0.0054	-0.0946	0.0956	-0.0427	0.1426	0.0145	-0.0469	0.586	-0.0337
HT	2	2	1989.2	0.2673	-0.1945	0.1496	0.3562	0.4438	-0.0878	0.1036	-0.0469	-0.0036	0	-0.2603	0.2726
CL	2	2	1037.2	-0.1246	0.5748	0.0581	0.0028	-0.1802	0.1418	-0.1472	0.157	0.0498	0	0.5305	-0.063
HT	2	3	146.6	0.3846	-0.2051	0.3982	0.5539	0.1917	-0.2986	0.1439	-0.1678	0	0	-1.4754	1.4745
CL	2	3	135.3	-0.022	0.1474	-0.008	-0.0419	-0.0147	0.1467	-0.0961	0.3087	0	0	0.6645	-0.0847
HT	2	4	343	0.3736	-0.2767	0.2336	0.2434	0.0339	-0.1869	0.1747	-0.0958	-0.0199	0	-0.5446	1.0646
CL	2	4	309.5	-0.0252	0.2748	0.0135	-0.0288	-0.0055	0.2087	-0.1161	0.2463	0.0429	0	0.5151	-0.1257
HT	2	5	275.9	0.8492	-0.3584	0.0929	0.5646	0	-0.294	0	-0.2732	0	0	-0.7149	1.1337
CL	2	5	234.3	-0.0455	0.1309	-0.0083	-0.0335	0	0.0837	0	0.538	0	0	0.4636	-0.1287
HT	2	6	273	0.7667	-0.4294	0.16	0.5602	0.4306	-0.237	0.0929	-0.203	-0.0032	0.0028	-0.346	0.2054
CL	2	6	159.5	-0.1395	0.6431	0.0081	-0.0192	-0.0554	0.1649	-0.0758	0.1491	0.0077	-0.0345	0.427	-0.0756
HT	2	7	2006.5	1.3107	-0.5539	0.112	0.5949	0.1677	-0.0282	0	-0.2011	0	0.0282	-0.5564	0.1262
CL	2	7	1883	-0.1441	0.5049	-0.0027	-0.0211	-0.0581	0.0356	0	0.2102	0	-0.0134	0.5343	-0.0457
HT	2	8	711	0.6525	-0.4054	0.2792	0.7167	0.3717	-0.0322	0	-0.1552	0	0.0974	-0.6518	0.1271
CL	2	8	643.6	-0.1078	0.5868	0.0154	0.0001	-0.0664	0.0305	0	0.1194	0	-0.0515	0.482	-0.0084
HT	2	9	2592.2	0.5084	-0.2309	0.3909	0.4458	0.4465	-0.0795	0	-0.1314	0	0.1286	-0.6888	0.2105
CL	2	9	1789.4	-0.0646	0.326	0.0139	-0.0119	-0.0567	0.0933	0	0.1432	0	-0.0718	0.6548	-0.0263
HT	2	10	2204.4	0.1474	-0.1517	0.3009	0.2273	0.0982	-0.0293	0.8538	-0.184	0	0.0624	-0.3938	0.0688
CL	2	10	651.7	0	0.3655	0.2744	0.0928	0	0.0517	-0.6841	0.2505	0	-0.0928	0.7422	0
HT	2	11	NA	0.6878	-0.3423	0.2074	0.4067	0.1495	-0.0419	0.4353	-0.1906	-0.0003	0.0433	-0.4567	0.1017
CL	2	11	NA	-0.1052	0.4788	0.071	0.0086	-0.0415	0.0505	-0.189	0.2148	0.0006	-0.0359	0.5834	-0.0362
HT	3	1	NA	0.3971	-0.1861	0.2652	0.4201	0.3905	-0.0661	0.0372	-0.0893	-0.001	0.0566	-0.4446	0.2206
CL	3	1	NA	-0.0985	0.4714	0.013	-0.0179	-0.1072	0.1007	-0.0434	0.15	0.0167	-0.0471	0.6044	-0.0419
HT	3	2	2049.1	0.24	-0.1551	0.1397	0.337	0.4215	-0.0763	0.1024	-0.0418	-0.0028	0	-0.2265	0.2619
CL	3	2	977.4	-0.1308	0.5938	0.0459	-0.0141	-0.1951	0.1477	-0.1531	0.1682	0.0581	0	0.5532	-0.0739
HT	3	3	138.7	0.3398	-0.1845	0.3843	0.5528	0.1624	-0.2585	0.1549	-0.1739	0	0	-1.2656	1.2883
CL	3	3	131.5	-0.0264	0.1569	-0.0126	-0.0491	-0.016	0.1508	-0.1109	0.3286	0	0	0.6816	-0.1029
HT	3	4	371.7	0.3354	-0.2339	0.2179	0.2418	0.0312	-0.1663	0.177	-0.1048	-0.0207	0	-0.4695	0.9919
CL	3	4	327.8	-0.032	0.2989	0.0101	-0.0336	-0.0062	0.216	-0.1358	0.253	0.044	0	0.5341	-0.1486
HT	3	5	319.6	0.7813	-0.3436	0.0932	0.5327	0	-0.2436	0	-0.2281	0	0	-0.6472	1.0554
CL	3	5	283.8	-0.0497	0.1338	-0.0108	-0.0407	0	0.0839	0	0.5577	0	0	0.4714	-0.1457
HT	3	6	318.5	0.7184	-0.3945	0.1441	0.518	0.3982	-0.1933	0.0859	-0.1998	-0.0061	0.0055	-0.3183	0.2419
CL	3	6	201.5	-0.1382	0.6304	0.0061	-0.0222	-0.0501	0.1468	-0.0556	0.1446	0.0085	-0.0456	0.4765	-0.1012
HT	3	7	1795	1.272	-0.5511	0.1284	0.5701	0.1907	-0.0276	0	-0.1991	0	0.0276	-0.5393	0.1284
CL	3	7	1549.6	-0.1574	0.53	-0.0031	-0.0269	-0.0665	0.0366	0	0.2151	0	-0.0129	0.5387	-0.0538
HT	3	8	689.3	0.5918	-0.3301	0.2222	0.6687	0.3272	-0.0253	0	-0.122	0	0.0666	-0.5167	0.1178
CL	3	8	615.6	-0.1118	0.6167	0.005	-0.0067	-0.066	0.0308	0	0.1154	0	-0.0437	0.4715	-0.0112
HT	3	9	2657.3	0.4582	-0.1697	0.3673	0.4133	0.3852	-0.0694	0	-0.1148	0	0.0953	-0.5832	0.2178
CL	3	9	1693	-0.0755	0.3505	-0.0015	-0.0238	-0.0742	0.1007	0	0.153	0	-0.0743	0.6806	-0.0355
HT	3	10	2299.2	0.1376	-0.1281	0.2702	0.1988	0.0845	-0.0215	0.8068	-0.1448	0	0.0506	-0.311	0.0569
CL	3	10	501.2	0	0.4074	0.2894	0.0892	0	0.0585	-0.7761	0.2428	0	-0.0892	0.7779	0
HT	3	11	NA	0.6117	-0.3112	0.2057	0.365	0.1533	-0.0383	0.4444	-0.1692	-0.0006	0.0381	-0.3966	0.0975
CL	3	11	NA	-0.1138	0.511	0.0751	0.0034	-0.0463	0.0573	-0.217	0.2133	0.001	-0.0359	0.596	-0.044
HT	4	1	NA	0.4211	-0.212	0.2808	0.4388	0.4044	-0.0688	0.0343	-0.0968	-0.001	0.0676	-0.4877	0.2195
CL	4	1	NA	-0.0976	0.4598	0.0151	-0.0164	-0.1062	0.0961	-0.0418	0.15	0.0139	-0.0482	0.6141	-0.039
HT	4	2	1467.5	0.2487	-0.168	0.1436	0.3429	0.4241	-0.0788	0.1019	-0.0421	-0.003	0	-0.2344	0.2653
CL	4	2	762.8	-0.129	0.5911	0.0543	-0.0059	-0.1935	0.1436	-0.1568	0.167	0.052	0	0.5444	-0.0672
HT	4	3	115.9	0.3438	-0.18	0.3785	0.5385	0.1683	-0.2616	0.1464	-0.1623	0	0	-1.2877	1.3161
CL	4	3	109.7	-0.0242	0.1551	-0.0109	-0.0479	-0.0158	0.149	-0.1085	0.324	0	0	0.6744	-0.0951
