CDIV	TRE	FRCC	MISW	MISC	MISE	MISS	ISNE	NYCW	NYUP	PJME	PJMW	PJMC	PJMD	SRCA	SRSE	SRCE	SPPS	SPPC	SPPN	SRSG	CANO	CASO	NWPP	RMRG	BASN
1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	7.7859E-06	0.000183411	0.181832967	0.19783135	0.51451798	0.105626505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.123510628	0.235133255	0.168484743	0	0	0	0	0	0.321176742	0.151694633	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0.376113134	0.236882054	0	5.61122E-06	0	0	0	0	0	0	0	0	0	0	0	0.230299555	0.144348112	0	0	0	0	0.012351533	0
5	0	0.314211516	0	0	0	0	0	0	0	0.085604057	0.061987828	0	0.103807647	0.258274461	0.168004127	0.008110364	0	0	0	0	0	0	0	0	0
6	0	0	0	0.013113719	0	0.086298385	0	0	0	0	0.094550296	0	0	9.25051E-05	0.230844504	0.575100601	0	0	0	0	0	0	0	0	0
7	0.59470688	0	0	0	0	0.218850816	0	0	0	0	0	0	0	0	0	0	0.176552397	0	0	0.009889907	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014128207	2.84938E-06	0.00674872	0.395679296	4.17977E-05	3.02582E-05	0.075067807	0.20912203	0.299179034
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012694522	0.259177431	0.325440842	0.369563392	0	0.001794564
