CDIV	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	1.0894E-05	0.244658808	0.060429109	0.179663596	0.43231125	0	0.082926343	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.059218081	0.024149284	0	0	0	0	0	0.196679229	0.632373669	0	0.087579743	0	0	0	0	0	0	0	0	0
4	0	0	0	0.533741982	0	0	0	0	0	0	0	0.000819804	0.18790719	0	0	0	0.247436089	0.017169018	0	0	0	0.012925917
5	0	0.290022103	0	0	0	0	0	0	0.128882018	0	0.050975821	0	0	0.163489891	0.004828237	0.361801927	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0.033923731	0.094839017	0	0.203890192	0.667341966	5.08337E-06	0	0	0	0	0	0
7	0.618722094	0	0	0	0	0	0	0	0	0	0	0.157071996	0	0	0	0	0.000826137	0.207980033	0.01539974	0	0	0
8	0	0	0	0.004658697	0	0	0	0	0	0	0	0	0	0	0	0	1.61751E-05	0.023604461	0.438523477	6.44923E-07	0.292171981	0.241024575
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009302316	0.684552602	0.271028315	0
