CDIV	AIA_CZ1	AIA_CZ2	AIA_CZ3	AIA_CZ4	AIA_CZ5
1	0.2389	0.7611	0.0000	0.0000	0.0000
2	0.1546	0.3568	0.4886	0.0000	0.0000
3	0.2668	0.7332	0.0000	0.0000	0.0000
4	0.4769	0.2417	0.2815	0.0000	0.0000
5	0.0000	0.0000	0.2107	0.5150	0.2743
6	0.0000	0.0000	0.3102	0.5726	0.1172
7	0.0000	0.0000	0.0616	0.2638	0.6746
8	0.5681	0.2986	0.0000	0.0000	0.1332
9	0.0701	0.1290	0.0792	0.7080	0.0137
