CDIV	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1	0	0	0	0	0.999967163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	3.28374E-05	1	1	1	0.629263715	0	0.087517021	0	0	0	0	0	0	0	0	0	0	0
3	0	0	1	0.07443908	0	0	0	0	0	1	0.785249377	0	0.455079433	0	0	0	0	0	0	0	0	0
4	0	0	0	0.918193794	0	0	0	0	0	0	0	0.002123568	0.544920567	0	0	0	0.993586318	0.039268199	0	0	0	0.055124417
5	0	1	0	0	0	0	0	0	0.370736285	0	0.106316545	0	0	0.73062369	0.02388799	0.999995846	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0.02091705	0.218574599	0	0.269376295	0.97611201	4.15374E-06	0	0	0	0	0	0
7	1	0	0	0	0	0	0	0	0	0	0	0.779301833	0	0	0	0	0.006353976	0.911104523	0.065905958	0	0	0
8	0	0	0	0.007367126	0	0	0	0	0	0	0	0	0	0	0	0	5.97063E-05	0.049627256	0.900707434	5.39151E-07	0.381542802	0.944875583
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033386607	0.999999461	0.618457212	0
