CDIV	ERCT	FRCC	MROE	MROW	NEWE	NYCW	NYLI	NYUP	RFCE	RFCM	RFCW	SRDA	SRGW	SRSE	SRCE	SRVC	SPNO	SPSO	AZNM	CAMX	NWPP	RMPA
1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0.000326335	0.089113825	0.059528179	0.233292228	0.512991693	0	0.104747732	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0.052245299	0.026035244	0	0	0	0	0	0.168384107	0.663695078	0	0.089640273	0	0	0	0	0	0	0	0	0
4	0	0	0	0.520844301	0	0	0	0	0	0	0	0.001113539	0.241907161	0	0	0	0.212388391	0.012429708	0	0	0	0.011316899
5	0	0.321500512	0	0	0	0	0	0	0.087930184	0	0.064213926	0	0	0.17362508	0.008446463	0.344283836	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0.030599905	0.072332197	0	0.247848943	0.649151952	6.70119E-05	0	0	0	0	0	0
7	0.58868253	0	0	0	0	0	0	0	0	0	0	0.195542449	0	0	0	0	0.001106326	0.204947913	0.009720786	0	0	0
8	0	0	0	0.003631108	0	0	0	0	0	0	0	0	0	0	0	0	2.58451E-06	0.014156951	0.495624278	4.17694E-05	0.27965527	0.206888049
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012498907	0.589171019	0.366525138	0
